#{"t_start": 1764266080.862551, "env_id": "None"}
r,l,t
-36.750904,97,0.336953
50.901328,72,0.523758
29.646318,84,0.788045
57.372313,100,1.041672
75.420071,100,1.350941
35.481984,59,1.564541
44.355835,100,1.848526
36.318652,100,2.09303
47.132927,94,2.493028
12.184399,29,2.578387
72.458793,100,2.824359
99.699028,100,3.073282
72.713045,100,3.364985
81.315001,100,3.715487
64.234604,100,4.036908
89.740645,100,4.290393
62.728548,100,4.543186
41.45789,51,4.674008
65.588012,66,4.84369
97.325857,100,5.092253
45.586408,81,5.288474
76.588451,100,5.578463
55.321654,66,5.739659
74.149374,100,6.150704
68.397969,100,6.407036
59.076982,100,6.715287
57.560774,100,6.959453
103.693398,100,7.207898
97.777325,100,7.458087
101.352181,100,7.732461
101.107686,100,7.960115
94.704012,100,8.264755
103.405712,100,8.587566
89.921671,100,8.840917
55.418971,100,9.088785
71.222841,100,9.381397
65.044236,71,9.595929
78.574615,100,9.829849
82.971756,100,10.077323
106.10055,100,10.34046
98.508093,100,10.842209
91.784845,100,11.137068
81.348705,81,11.342561
92.039229,100,11.63703
91.20325,100,11.872509
47.219629,47,11.997564
54.544409,79,12.206955
108.061174,100,12.532088
99.847531,100,12.842363
93.332451,100,13.222997
81.764903,100,13.479618
88.761276,100,13.721249
104.950365,100,13.991962
52.753113,100,14.241819
93.798081,100,16.19574
76.457755,100,16.471346
104.126911,100,16.737346
77.008288,77,16.970529
98.092563,100,17.304939
84.591553,100,17.61638
95.65139,100,17.994403
86.159085,100,18.325809
73.664245,100,18.664181
88.84329,100,18.976309
90.252266,100,19.288788
80.197459,100,19.582626
88.909436,100,19.837792
34.000875,57,19.996314
13.954679,55,20.252027
7.723122,35,20.363718
11.444268,32,20.437674
102.789945,100,20.707624
37.845589,41,20.802991
90.859441,100,21.073881
70.080004,100,21.331121
99.716095,100,21.60309
92.983261,100,21.857239
94.713041,100,22.118337
80.560585,100,22.528433
61.809027,44,22.655006
101.318949,100,22.923747
42.616577,36,23.023263
81.281326,71,23.22048
62.188133,79,23.437129
89.224541,100,23.702688
1.072042,73,23.888069
30.846467,100,24.136979
38.406747,100,24.401506
110.210598,100,24.709292
87.361046,100,25.131186
93.525308,100,25.456829
104.313776,100,26.177161
60.513157,72,26.699885
43.593518,62,26.922745
108.775113,100,27.322047
91.406159,100,27.610365
68.420253,68,27.78525
109.847697,100,28.150801
90.481754,100,28.522553
94.371541,100,28.818378
69.064056,100,29.068123
95.889121,100,29.399187
93.914376,100,29.720297
110.851793,100,29.969205
85.458735,100,30.408534
105.870093,100,30.670112
87.384889,100,30.966838
71.123328,100,31.234923
71.085077,100,31.48232
72.911887,100,31.841854
57.245366,100,34.192278
12.041782,100,34.51991
71.730476,100,34.862935
97.740597,100,35.200164
104.980443,100,35.540159
89.872645,100,35.811006
93.244415,100,36.076729
102.514206,94,36.502733
98.621825,100,36.780322
65.420271,61,36.968997
86.146624,100,37.290973
87.876643,90,37.60346
105.475398,100,37.874193
105.721086,100,38.173732
97.690452,100,38.764311
115.058771,100,39.170717
97.882036,100,39.502634
89.921155,100,39.839627
55.212019,100,40.17536
39.174615,100,40.498
30.364884,100,40.804281
31.696746,100,41.306621
26.115214,100,41.636839
51.996079,100,41.943218
93.000391,100,42.252186
73.690199,100,42.572004
66.140491,100,42.874978
85.859323,100,43.193063
106.19031,100,43.664681
104.189485,100,43.98096
105.105399,100,44.24134
109.129444,100,44.562567
96.417431,100,44.895833
99.973193,100,45.215701
97.88116,100,45.542159
96.874289,100,45.978862
95.191267,100,46.264018
90.378884,100,46.603054
65.564352,100,46.923593
46.911707,100,47.250943
-4.2128,100,47.613335
8.806693,100,48.286679
-13.419417,100,48.628664
7.968622,100,48.969245
54.371718,100,49.303262
57.931076,100,49.619
85.433684,100,50.118061
89.214189,100,50.573247
105.453063,100,50.90708
96.095925,100,51.256426
63.804699,71,51.488059
78.855933,100,54.045842
97.108057,100,54.41669
103.91495,100,54.853208
97.126722,100,55.804363
89.573681,100,56.387274
75.950805,78,56.695848
89.220298,79,57.046083
104.543449,100,57.409303
98.89132,100,57.847592
106.733457,100,58.133578
107.793554,100,58.413494
62.968473,80,58.63528
100.904606,100,59.034736
19.374065,97,59.482891
-1.097051,97,59.767754
97.522651,100,60.150103
93.562565,100,60.457747
84.870588,79,60.716793
103.905449,100,61.006815
89.331292,87,61.255747
79.861156,80,61.605562
100.572477,100,62.116519
96.912103,100,62.582446
91.73582,100,63.104306
104.058114,100,63.406703
104.141433,100,63.647841
105.37277,100,63.887516
47.860493,100,64.198703
2.893269,84,64.415609
86.936512,100,64.821429
84.041943,100,65.109149
67.239968,100,65.358606
104.768009,100,65.596439
84.042796,100,66.000824
72.304675,85,66.234331
95.641824,100,66.484357
83.47328,100,66.68152
108.350977,100,66.943169
91.455685,100,67.249259
103.916304,100,67.497455
103.321029,100,67.729676
99.571374,100,68.005821
67.627354,70,68.148026
87.7982,100,68.396536
79.455522,100,68.633356
79.715792,76,68.780191
88.245841,100,69.013463
78.15837,82,69.249961
83.231601,100,69.580894
64.743605,86,69.764385
67.811881,61,69.923774
99.794446,100,70.3396
117.729124,100,72.249624
81.662023,91,72.54512
83.807325,88,72.763867
113.298628,100,73.015888
83.53304,97,73.263314
115.023469,100,73.53288
98.137225,100,73.843538
93.411491,100,74.123223
105.524467,91,74.330225
98.552434,100,74.579092
100.466649,100,74.796761
64.440819,65,74.930127
97.090923,100,75.163382
106.420522,100,75.401029
67.503539,68,75.55463
98.666226,100,75.746438
89.647255,78,75.963202
92.487939,100,76.305748
99.242836,100,76.563146
77.885119,100,76.799826
116.764951,100,77.013023
95.72315,100,77.246341
111.281517,100,77.523143
88.551264,100,77.815514
91.800446,100,78.112375
112.856719,100,78.489115
98.844423,100,78.750679
107.790312,100,79.112636
106.025904,87,79.340922
114.046766,100,79.594835
109.625501,100,79.843734
116.185409,100,80.077063
116.400172,100,80.294649
105.031538,100,80.59506
91.549022,82,80.857269
76.495754,100,81.075835
107.897497,100,81.308917
81.774792,100,81.565052
83.727644,100,81.767703
120.316814,100,82.01107
97.717244,100,82.260982
109.504873,100,82.494272
101.35385,100,82.727554
88.64726,100,83.077603
85.191152,80,83.295144
113.182612,100,83.528453
102.462472,100,83.76181
104.099735,98,83.991002
85.667861,87,84.178276
100.581561,100,84.419783
70.328844,100,84.644808
95.68708,100,84.925529
43.87387,68,85.155472
87.433101,77,86.794492
101.475105,100,87.043381
93.158495,100,87.292288
93.283552,100,87.626605
52.040782,67,87.813999
92.489677,100,88.077585
102.259643,100,88.326493
106.429626,100,88.598142
76.455376,88,88.793079
99.408561,100,89.039998
110.322067,100,89.28697
106.70047,100,89.537933
71.21393,71,89.797025
111.223636,100,90.050649
103.577791,100,90.309528
108.531908,100,90.60219
82.944606,76,90.79364
105.520864,100,91.037177
107.449188,100,91.27636
100.493325,100,91.50986
105.37645,100,91.743403
91.720702,100,92.093353
100.021889,100,92.319105
105.638609,100,92.62597
112.748261,100,92.925794
99.384074,100,93.209315
86.891531,100,93.480411
110.817875,100,93.729451
107.469853,100,94.034238
105.234974,100,94.439876
102.439645,100,94.692783
58.18556,100,95.108944
19.551868,100,95.342876
25.295084,100,95.59287
43.536321,100,95.841744
91.159506,100,96.097832
