#{"t_start": 1764265689.173588, "env_id": "None"}
r,l,t
-16.290188,31,0.511004
2.48131,41,0.65714
-27.831706,64,0.895537
18.117913,74,1.133761
-4.330533,100,1.564634
45.836047,78,1.929037
49.68579,100,2.296355
51.808796,100,2.740577
60.268787,100,3.085667
49.464366,89,3.405894
60.220333,100,3.723539
69.046313,100,4.205748
84.747428,100,4.594435
90.800782,100,5.155642
77.966607,100,5.555382
90.130624,100,5.939789
93.91538,100,6.383963
79.039452,100,6.745998
89.819151,100,7.070388
100.683441,100,7.443306
83.49396,100,7.805119
103.705242,100,8.194929
84.183689,100,9.244636
67.369981,100,10.344841
89.153863,100,10.727524
79.870958,100,11.104854
58.372812,100,11.560318
69.389788,57,11.792443
62.278777,100,12.264611
53.588104,63,12.484507
98.491403,100,12.838496
84.678028,100,13.205091
100.653204,100,13.592343
72.343154,100,14.0573
81.222077,100,14.393702
74.188548,100,14.754679
82.055581,99,15.104906
84.013804,100,15.454218
81.175266,100,15.870248
88.094616,100,16.277829
73.95282,100,16.624006
81.742855,100,17.000393
82.254223,100,17.3787
67.918086,100,17.758101
82.876142,100,18.07406
87.546916,100,18.505018
95.019734,100,18.875916
96.081799,100,19.247771
93.862527,100,19.587046
89.620919,100,19.936682
94.567876,100,20.312031
76.396711,100,20.733045
83.079714,100,21.120368
79.038746,100,23.46981
76.994208,100,23.859026
65.807927,100,24.243233
73.543541,100,24.78624
87.843495,100,25.234501
91.085714,100,25.635124
91.751006,100,26.021677
84.952162,100,26.672371
104.521101,100,27.439829
80.44549,100,28.323039
74.349145,63,28.671575
92.815292,100,29.183419
89.425127,100,29.62946
107.692321,100,30.20896
75.631679,100,30.726519
87.615617,100,31.324794
63.084944,100,31.702077
66.664064,100,32.07683
66.703944,100,32.510168
62.856787,100,33.018083
81.87697,100,33.758989
67.29607,100,34.422438
75.125729,100,34.909858
82.003167,100,35.320736
81.139206,100,35.772241
72.350909,100,36.234151
91.884163,100,36.680505
91.498871,100,37.224373
67.495562,65,37.517208
63.660008,96,38.026597
94.363894,100,38.471264
71.620947,63,38.814424
85.380849,100,39.301949
74.989918,100,39.730479
76.45333,83,40.012863
68.822932,100,40.349944
78.595774,100,40.792815
78.825939,100,41.139741
77.862745,97,41.495624
90.597309,100,41.916214
82.368212,100,42.281795
78.706129,100,42.619313
92.328524,100,42.965948
71.540091,100,43.434375
96.722077,100,43.949741
95.288719,100,44.868783
74.857071,100,45.74183
88.762277,100,46.477998
89.994381,100,46.855666
53.533986,100,47.226871
82.023894,100,47.533935
57.765857,100,49.580451
90.575053,100,49.854253
79.359958,100,50.227274
91.592455,100,50.481353
83.47297,100,50.815146
49.151344,73,51.181868
108.472735,100,51.517146
83.683798,100,51.944869
83.958639,84,52.215503
94.592675,100,52.541034
88.233516,100,52.836527
100.257876,100,53.14649
98.669384,100,53.547274
95.125456,100,53.882499
107.416978,100,54.213844
93.183502,100,54.54728
79.445007,100,54.888893
84.903505,100,55.240275
75.900191,56,55.41309
84.160366,100,55.811653
59.193131,100,56.104161
62.870246,82,56.384904
60.059837,76,56.662709
83.194094,100,56.946272
83.886463,100,57.211774
72.077464,100,57.517689
74.518704,100,57.88082
89.997488,100,58.222789
88.455712,100,58.545436
94.160307,100,58.878745
73.42476,95,59.286331
77.438897,100,59.70067
87.425288,100,60.962875
94.971275,100,61.295978
95.728208,100,61.598961
85.575002,100,61.86487
90.354803,100,62.129127
31.755784,56,62.294138
84.41335,100,62.578809
88.610588,100,62.933444
84.3259,100,63.275891
91.162734,100,63.543553
98.917251,100,63.861128
49.291576,71,64.078799
88.244704,100,64.361613
105.20181,100,64.629184
104.451959,100,64.885238
74.861735,100,65.176309
101.161114,100,65.626364
87.177209,100,65.906608
93.807827,100,66.161791
92.529805,100,66.413302
69.274025,100,68.337772
67.891656,68,68.696292
91.188472,100,68.960422
96.494011,100,69.243735
88.338622,100,69.516425
69.619796,100,69.87907
45.968666,80,70.126714
79.836614,97,70.398729
78.416802,100,70.723043
93.457655,100,71.010912
110.694479,100,71.302955
102.22106,100,71.594032
85.598989,100,71.842913
90.899893,100,72.358455
101.468376,100,72.593863
66.720949,73,72.811171
97.307449,100,73.076061
100.112036,100,73.345611
70.313694,100,73.611897
80.060553,100,73.889847
102.75395,100,74.159715
98.792065,100,74.614321
52.595181,100,74.893392
74.984998,93,75.132323
95.107355,100,75.41495
69.902391,100,75.741221
78.548478,100,76.10659
102.513296,100,76.469734
97.39642,100,76.825828
94.695761,100,77.277473
68.180638,100,77.566899
77.608291,81,77.808448
86.745886,100,78.158961
103.474237,100,78.461914
94.940326,100,78.726061
78.319783,100,79.105294
94.000972,100,79.397579
75.891776,100,79.674859
76.162172,100,79.958652
99.016124,86,80.191739
72.63806,75,80.39028
97.499741,100,80.682764
101.750702,100,81.042305
87.543922,100,81.634187
90.250664,100,82.841412
88.649872,100,83.124167
78.556195,100,83.403912
70.470008,100,83.758886
74.714277,100,84.007296
96.229032,100,84.279603
86.967877,100,84.540674
80.423518,100,86.341696
77.73173,84,86.573428
93.975622,100,86.850751
86.875588,100,87.091047
83.165455,84,87.32437
101.686319,100,87.57327
102.893948,100,87.829312
90.069728,100,88.201429
96.160511,100,88.489781
96.22926,98,88.738731
95.813919,100,88.9916
92.020151,100,89.354499
79.599833,100,89.636927
94.41638,100,89.929205
65.857762,100,90.198082
98.331906,100,90.57379
83.762106,100,90.868312
97.952663,95,91.215242
89.392744,100,91.572416
98.950627,100,92.198352
62.912873,53,92.966538
98.837503,100,93.357013
91.203655,100,93.638812
102.608174,100,93.88665
92.223442,100,94.178157
106.286737,100,94.464977
96.398106,100,94.737519
93.6981,100,95.021848
105.77477,100,95.389474
95.432835,100,95.681029
102.026834,100,95.988419
76.969311,100,96.324544
90.865655,100,96.649
103.672144,100,96.972195
110.573417,100,97.255829
94.670512,100,97.702944
100.141111,100,98.061187
81.026282,97,98.422404
108.792576,100,98.874522
43.806511,63,99.095143
101.63496,100,99.424987
110.153396,100,99.808183
109.955196,100,100.137905
119.298811,100,100.438648
92.142038,100,100.75783
103.699066,100,101.036532
68.450103,83,101.288326
99.296555,100,101.5539
74.461269,100,101.838283
114.739764,100,102.215244
97.057805,100,102.661941
114.833823,100,102.98701
110.591058,100,105.086671
100.645365,100,105.382005
96.402164,90,105.636479
94.667906,100,105.936447
94.974989,100,106.229568
99.558908,100,106.503037
90.12533,96,106.904683
105.079584,100,107.173268
109.043941,100,107.420592
105.056811,100,107.836239
77.608847,100,108.276044
112.203701,100,108.652533
102.372634,100,108.936912
97.401367,100,109.280833
89.889993,100,109.52011
67.359156,57,109.672266
99.96445,100,109.914308
106.337818,100,110.152625
113.662166,100,110.402214
99.531612,100,110.660618
116.460981,100,110.93637
113.715359,100,111.253362
90.051088,84,111.5398
105.310911,100,111.995931
97.993975,100,112.285859
76.073841,63,112.468513
105.67445,99,112.739838
59.037972,43,112.852545
82.337782,76,113.086154
101.251517,100,113.33505
107.297784,100,113.695866
97.7442,100,113.976424
71.420022,75,114.18487
88.446789,87,114.473807
80.749584,78,114.686059
107.962412,100,114.963071
93.645367,100,115.262542
113.235124,100,115.541798
122.174869,100,115.899227
81.697796,100,116.236232
111.903945,100,116.54546
58.02927,56,116.70583
108.975182,100,116.983297
111.70408,100,117.294959
75.393477,68,117.514574
112.44043,100,117.768705
100.160656,100,118.084207
101.034285,100,118.457587
85.997155,88,118.716751
97.556284,100,119.001162
90.773886,100,119.272645
113.838157,100,119.566186
105.218577,100,119.863178
118.517209,100,121.790192
103.701918,100,122.072425
102.384906,100,122.33335
