#{"t_start": 1764261884.9430828, "env_id": "None"}
r,l,t
-6.155468,40,0.345993
14.698801,30,0.482546
8.268539,65,0.753325
15.486852,100,1.118544
56.809092,100,1.474517
75.081149,100,1.842991
53.513098,100,2.244101
57.682308,100,2.720699
63.898088,100,3.079724
63.086974,100,3.408268
89.803032,100,3.742713
82.685977,100,4.139208
33.354307,100,4.546236
22.500834,81,4.866667
74.159938,100,5.2249
73.033508,100,5.609443
67.251798,100,5.971352
36.134738,86,6.230957
44.591421,67,6.488336
71.532595,100,6.862536
59.909706,100,7.398276
42.842496,100,7.795467
-6.946001,65,8.088912
-1.851551,100,8.435862
79.138986,100,8.828514
37.089649,59,9.100559
59.280405,100,9.585794
49.262501,52,9.794822
94.919809,100,10.225063
84.24194,100,10.66014
84.671447,100,11.050508
61.595392,96,11.470454
36.334854,100,12.026791
75.705346,100,12.39667
85.218706,100,12.756488
69.709971,100,13.130152
84.56027,100,13.512104
69.001832,100,13.823309
73.61168,100,14.244103
93.923765,100,14.654717
92.130628,100,15.029614
87.286188,100,15.378933
109.56464,100,15.989382
60.660667,100,16.485979
79.373577,64,16.726508
78.723159,100,17.096706
66.076823,100,17.522738
89.993833,100,17.868061
36.888669,100,18.263173
82.095741,100,18.773066
81.25198,100,19.24133
99.943912,100,19.572917
76.854868,100,20.006186
79.483928,100,21.963115
31.380729,75,22.254683
86.464449,100,22.655526
79.875385,100,23.005073
35.562606,100,23.493217
95.686011,100,23.818626
78.271556,100,24.171291
49.73514,100,24.473626
77.824839,100,24.784971
105.056556,100,25.103691
86.831811,100,25.476851
71.264936,100,25.858901
59.333697,100,26.244632
19.447165,81,26.568104
53.118338,100,26.944466
61.074056,100,27.334126
48.131815,67,27.571515
97.820936,100,27.985133
104.076373,100,28.370233
88.38688,82,28.699405
77.447668,82,29.020179
88.541601,100,29.458555
93.395491,100,29.871253
113.263503,100,30.349016
77.926931,100,30.70323
88.168121,100,31.090344
91.800768,100,31.561678
96.256519,100,32.120579
63.642041,78,32.470639
82.152685,100,32.836371
80.552636,100,33.228398
96.557629,100,33.552561
111.355621,100,33.946368
90.941808,100,34.516822
99.529366,100,34.915691
64.117591,100,35.327129
76.598567,100,35.681518
51.12877,100,36.070916
98.103029,100,36.511873
108.616662,100,36.89853
85.484813,100,37.244271
91.641866,100,37.634714
97.713415,100,37.985029
114.097055,100,38.377107
90.125477,95,38.756036
100.631371,100,39.160763
71.440729,78,39.555978
88.057816,100,39.934752
88.522155,100,40.260229
99.088106,100,40.619089
91.029671,100,41.051139
114.212126,100,41.441911
112.414086,100,45.798905
73.923352,78,46.175318
84.116332,100,46.583449
87.849198,100,47.050986
89.333507,84,47.470753
93.429397,100,47.890967
57.977653,100,48.239632
60.973398,100,48.623651
91.658497,100,48.995397
84.184846,90,49.26623
65.107744,100,49.80323
100.288381,100,50.604803
38.363702,100,51.146641
78.812018,100,51.739166
69.503706,100,52.334028
98.200202,100,52.79391
90.230002,100,53.201695
91.952518,100,53.657486
76.694143,100,54.165032
102.473332,100,54.666664
102.629583,100,55.261464
97.288536,100,55.88641
64.988043,100,56.351455
93.066281,100,56.750642
82.529148,96,57.111277
83.218342,100,57.431345
87.630319,100,57.989415
49.787619,100,58.363934
59.860438,92,58.64816
121.27179,100,58.987328
84.079899,73,59.309998
84.44388,86,59.704882
50.862472,68,59.966188
108.995901,100,60.471294
109.760387,100,60.822307
81.750686,100,61.166799
98.477519,100,61.517081
94.986813,100,62.004496
89.17,100,62.400779
-20.506356,100,62.801761
16.608766,63,63.01383
68.543277,100,63.448205
73.676908,64,63.733968
101.447009,93,64.031139
109.317431,100,64.330578
65.747119,63,64.51335
86.546939,100,64.918666
98.173822,100,65.264142
101.968401,100,65.615987
46.12995,83,65.965876
115.710384,100,66.297347
32.39409,56,66.527739
90.575758,91,66.838765
106.362581,100,68.759581
108.263449,100,69.13828
87.050705,100,69.53755
86.902927,100,69.855115
81.749444,84,70.112797
101.512011,100,70.498124
67.092286,100,70.86652
104.757427,100,71.261158
91.828861,100,71.827641
96.841717,100,72.202717
112.611247,100,72.630725
102.798553,100,73.016161
105.069195,100,73.530423
90.2332,95,74.104623
110.201884,100,74.600511
96.19063,100,74.988707
95.452073,100,75.370855
78.942505,87,75.671909
99.053713,100,76.046601
111.955826,100,76.509217
74.22773,55,76.694067
86.469717,90,77.084896
97.703862,100,77.444232
98.856405,81,77.739517
102.626657,80,78.073234
102.604949,88,78.446683
94.932257,100,78.795024
111.137865,100,79.17205
109.655512,100,79.493791
78.68915,68,79.7277
106.397437,100,80.093729
106.958291,100,80.411369
96.176784,100,80.824417
87.343695,72,81.183075
122.27253,100,81.521224
102.365493,100,81.907819
104.942486,100,82.261005
117.894045,100,82.644293
113.766566,100,83.142604
95.891858,100,83.501612
109.714986,100,83.883979
95.786583,100,84.215303
101.430978,97,84.526194
77.111822,76,84.779573
95.924016,81,85.043787
69.647195,80,85.374293
114.033626,100,85.712073
120.457295,100,86.117645
111.346576,100,86.476182
107.677186,100,86.864463
115.165336,100,87.210075
111.76398,100,87.580838
74.285809,100,88.011118
119.474203,100,89.959612
111.551853,92,90.26163
74.540423,72,90.743779
113.610179,100,91.778121
78.549643,100,93.174491
113.912543,100,94.078471
117.830887,100,94.674009
74.999195,87,95.262228
120.703434,100,96.069451
109.187966,100,96.61208
126.953375,100,97.055557
122.628489,100,97.441578
130.294063,100,97.877272
100.217951,84,98.194809
111.348534,100,98.54031
121.764861,100,98.924595
106.660502,100,99.448011
122.062066,100,100.061085
79.485067,100,100.474233
123.090605,100,100.898284
110.606853,100,101.374498
43.445908,100,101.797919
117.285608,100,102.226205
109.675332,100,102.575581
129.681408,100,103.270478
118.675908,100,104.039186
122.447053,94,104.899544
118.28158,100,105.339998
32.525702,100,105.857686
34.77568,70,106.154636
88.881662,100,106.622284
122.522105,100,107.141896
106.637409,100,107.505117
113.031868,100,107.859785
103.866774,100,108.213108
109.015554,100,108.660644
102.268294,100,109.123464
116.952306,100,109.484257
121.728583,100,109.858422
125.58308,100,110.222473
116.068886,93,110.588909
123.059596,100,110.95952
126.919,100,111.553408
126.714795,100,112.061023
111.700858,100,112.437567
107.550589,100,112.762577
126.330632,100,113.138464
71.490417,71,113.42123
120.623473,100,113.852836
93.068002,97,114.237237
127.418104,100,114.604894
117.882111,100,116.786928
115.110488,100,117.12095
119.705959,100,117.436606
93.363389,100,117.75333
111.643955,100,118.147031
119.388235,100,118.509169
106.408765,100,118.922476
90.227027,100,119.312772
97.30536,100,119.665483
108.710695,100,120.010463
114.265817,100,120.403171
78.964397,57,120.609335
116.65383,100,120.975034
93.481193,92,121.372212
124.489897,100,121.759887
115.581466,100,122.098671
113.766197,100,122.564575
109.973909,100,123.039679
117.3513,100,123.503011
115.119498,100,123.980197
90.345458,100,124.351003
113.682259,100,124.752978
101.630911,88,125.102778
103.764065,94,125.419848
104.326161,100,125.829686
87.434502,100,126.155316
115.581903,100,126.508271
106.581017,100,126.853194
109.681182,100,127.210696
121.893742,100,127.611546
113.146305,100,127.988339
110.971352,100,128.440156
113.604224,100,128.835508
113.284947,100,129.192074
93.008991,85,129.671548
115.695581,100,130.149829
93.114339,100,130.695753
114.631169,100,131.085123
84.645956,100,131.45084
29.080358,90,131.868465
117.866259,100,132.799741
120.001397,100,133.351066
123.955077,100,133.977371
114.039389,100,134.418037
113.605821,100,134.926902
121.840847,100,135.333624
101.71253,100,135.790609
114.345363,100,136.22561
105.519111,91,136.578352
121.180933,100,136.949123
122.639569,100,137.324317
100.538971,80,137.675222
124.354298,100,140.066365
118.316055,100,140.496377
121.043835,100,140.918994
76.533461,84,141.283979
89.263323,100,141.646755
122.499499,100,142.041235
120.594718,100,142.460549
112.105293,100,142.815156
109.728134,100,143.200616
119.786027,100,143.514503
92.427752,73,143.833714
22.60851,100,144.205695
104.357652,100,144.532578
116.768789,100,144.848341
116.313353,100,145.272398
116.621386,95,145.66043
103.612496,100,146.02021
118.641762,100,146.384725
120.024392,100,147.022424
123.619638,100,147.611461
97.81635,100,148.03242
120.837607,100,148.489074
75.561567,100,148.843406
92.045623,79,149.148658
123.186506,100,149.585156
122.350028,100,149.967673
114.539274,88,150.263737
124.698938,100,150.602083
125.297818,100,151.025965
112.360418,100,151.387759
105.940504,100,151.806725
103.011109,79,152.14213
120.837298,100,152.520117
96.625571,100,152.841394
106.585101,100,153.297291
99.312666,100,153.6378
119.242756,100,153.982876
117.891774,100,154.296324
111.45426,100,154.661916
115.949479,99,155.012827
119.734533,100,155.362732
67.099089,100,155.779756
82.754089,61,155.978295
123.384083,100,156.344844
116.261137,91,156.685011
112.905049,100,157.063416
76.30903,100,157.447421
114.892451,100,157.762665
100.105197,100,158.063282
121.530594,100,158.391522
53.495665,100,158.712054
117.380278,100,160.70531
128.014431,100,161.055666
112.4592,100,161.492487
121.407765,100,161.860494
122.260938,100,162.246207
114.156615,100,162.662401
75.389403,54,162.876047
78.252388,55,163.102135
120.163837,100,163.51736
114.471909,100,164.220594
120.200847,100,164.765566
99.865801,88,165.513676
108.585458,92,166.012297
116.263659,100,166.927785
121.183443,100,167.325853
130.620373,100,167.68742
112.299435,100,168.128033
114.71013,100,168.494448
97.196546,82,168.777886
126.094489,100,169.097915
128.886423,100,169.416143
108.410223,100,169.744353
104.939687,93,170.049009
114.05415,100,170.426711
60.874109,100,170.726494
119.818086,100,171.010832
116.543383,100,171.474214
106.477464,100,171.794019
86.447608,83,172.065784
75.394602,62,172.294953
117.77862,100,172.671505
76.900838,65,172.893868
110.465869,96,173.223956
91.193472,76,173.476949
117.282678,100,173.791568
115.160037,100,174.122896
109.245178,100,174.44819
116.591477,100,174.797724
117.398212,100,175.157336
120.784042,100,175.497962
35.498327,100,175.82551
89.204945,77,176.079057
113.499505,100,176.358802
115.87337,100,176.707685
111.400401,100,177.086875
114.081475,100,177.407539
98.686668,86,177.71198
83.962131,71,177.942815
110.871609,100,178.282104
121.804944,100,178.602919
115.378434,100,178.907297
99.102284,100,179.250154
106.109901,100,179.581237
99.597215,100,181.281059
122.384331,100,181.666432
107.195504,100,181.956691
93.704519,93,182.292066
116.576294,100,182.625315
112.738733,100,182.941808
113.894402,100,183.263564
116.312273,100,183.574077
100.823092,80,183.891863
80.305767,100,184.208275
114.253898,100,184.523954
97.313717,100,184.935788
102.423299,98,185.296257
114.523087,100,185.624718
83.861803,71,186.178126
115.576502,100,186.945526
94.825756,100,187.402435
120.676105,100,187.794056
123.732132,100,188.242771
108.050355,100,188.599157
98.452106,81,188.947712
111.516671,100,189.287462
117.367316,100,189.622977
96.24926,100,189.963985
121.874115,100,190.312961
104.553756,100,190.723559
119.677434,100,191.155375
111.363997,100,191.52267
111.523101,100,191.846563
123.961598,100,192.220658
86.999765,66,192.439033
116.805249,100,192.790527
119.149212,100,193.320537
111.187451,100,193.981762
118.165313,100,194.643056
119.301291,100,195.311684
126.161865,100,195.83641
107.095473,100,196.265671
120.933072,100,196.658449
113.971009,100,196.987847
124.529209,100,197.378691
98.109831,74,197.645154
66.637746,100,198.109646
67.906848,62,198.338485
121.162893,100,198.921911
113.963727,100,199.426561
120.858323,100,199.834807
124.468264,100,200.279366
118.400244,100,200.722294
115.520761,100,201.061882
120.396868,100,201.442002
121.251387,100,201.831509
115.420001,100,204.271148
105.899957,86,204.591377
122.241236,100,204.987888
93.682252,75,205.322998
119.507523,100,205.680592
114.664448,100,206.156813
119.831717,100,206.625021
127.338056,100,207.01371
123.881476,100,207.467441
110.243401,100,207.90375
117.69411,100,208.301094
104.700523,83,208.604073
