#{"t_start": 1764262858.007675, "env_id": "None"}
r,l,t
3.463216,100,0.608641
44.937235,100,1.127654
26.949536,100,1.594219
57.33426,100,2.060961
47.712124,100,2.669659
36.539501,100,3.195383
63.916507,100,3.893758
58.875747,100,4.408762
56.259614,100,4.876503
60.415652,100,5.358089
72.355895,100,5.909352
99.586341,100,6.454568
69.073526,100,6.938238
81.149415,100,7.409373
86.293759,100,7.978924
66.115123,100,8.475757
58.115632,100,9.016906
60.313161,100,9.609094
80.24434,100,10.142498
63.755245,100,10.736462
63.442017,100,11.175783
85.409446,100,11.774141
81.642119,100,12.35733
72.984016,100,12.773961
46.729364,74,13.073947
77.694274,100,13.579474
75.699562,100,14.056927
49.975705,76,14.340712
55.13932,84,14.679847
75.224607,100,15.107867
90.355691,100,15.523526
72.655972,100,15.873292
75.833248,100,16.349019
35.166033,93,16.690241
24.242659,74,16.981832
40.987309,100,17.41384
46.032033,90,17.789607
62.44531,100,18.157272
58.447837,100,18.737448
63.455492,100,19.123765
63.8146,79,19.410413
63.736386,100,19.840236
85.579311,100,20.256922
62.00802,100,20.724508
79.216915,100,21.089048
90.29248,100,21.472895
56.043306,83,21.845447
66.659171,100,22.239838
67.770368,100,22.655565
86.716704,100,23.094716
56.969044,100,23.522968
64.328461,100,25.662807
75.243203,100,26.072478
79.227371,93,26.439029
78.560803,100,26.8304
88.427658,100,27.254554
87.847752,100,27.736807
70.117953,100,28.121969
78.005977,100,28.513307
76.866142,100,28.903181
74.616076,100,29.310255
82.370201,100,29.792167
60.818713,100,30.20616
88.172547,100,30.623282
82.068236,100,31.002778
86.636929,100,31.40598
81.160035,100,31.850365
84.150729,100,32.350527
90.292832,100,33.15438
72.152476,100,33.52
79.601424,100,34.074003
94.578673,100,34.553468
82.3846,100,34.969829
99.763594,100,35.413671
77.111306,100,35.83723
89.001281,100,36.202744
84.520969,100,36.672599
92.27479,100,37.070546
90.125872,100,37.419225
99.461628,100,37.847466
78.541701,100,38.275457
73.234955,78,38.629937
81.624255,100,39.050294
80.675741,100,39.468824
97.330911,100,39.829837
73.901518,77,40.152397
99.55219,100,40.673768
71.577008,100,41.131205
99.75256,100,41.57263
89.278498,100,41.98621
81.05988,100,42.391227
72.424714,100,42.788915
83.722163,83,43.174971
94.088282,100,43.585804
78.438278,100,43.977589
90.515442,100,44.351287
61.990634,100,44.752149
58.717773,89,45.102089
104.031703,100,45.568181
89.007473,100,45.968668
90.491634,100,46.350967
56.907238,63,46.607262
92.340559,100,48.601385
56.653094,100,48.966996
96.868439,100,49.366989
79.032487,100,49.75649
91.413278,100,50.211185
107.105919,100,50.649032
94.387813,100,51.058413
98.013252,100,51.450985
80.286425,100,51.840147
83.972871,74,52.142834
71.373293,96,52.574792
101.980937,100,53.01667
103.39228,100,53.448542
36.368571,82,53.873696
106.708545,100,54.265002
99.93613,100,54.716994
80.106539,100,55.116812
97.052527,96,55.520558
93.571651,100,55.915047
88.634717,100,56.283341
69.925477,87,56.685155
75.663151,56,56.948869
100.415342,100,57.33655
103.623901,100,57.733155
84.174862,100,58.139159
104.25708,100,58.566325
96.044623,100,59.000185
102.865835,100,59.398389
7.590133,80,59.702112
63.962899,100,60.078635
105.810507,100,60.481949
45.325792,80,60.853569
90.120019,87,61.256433
110.711306,100,61.664741
90.504402,87,61.998956
101.737389,100,62.390574
102.326068,100,62.764472
83.679242,100,63.228082
5.418972,100,63.673944
95.85042,100,64.064242
58.864999,47,64.257058
106.32185,100,64.669174
52.634114,91,65.0318
108.601862,100,65.518951
111.127107,100,66.008703
110.704454,100,66.412953
94.207456,100,66.781291
17.272834,100,67.198013
-14.251412,100,67.597931
-17.269489,100,68.039032
-20.399152,100,68.463415
58.4493,100,68.864273
106.741981,100,69.229854
103.517685,100,71.244167
106.714038,100,71.613842
111.502089,100,72.013226
16.64921,100,72.450556
13.437081,100,72.864223
105.964122,100,73.328024
103.848381,100,73.696758
26.856877,53,73.880178
16.506554,72,74.155402
105.175182,100,74.657849
96.380672,100,75.106147
102.594444,100,75.477667
81.43341,100,75.928647
88.787583,100,76.355813
121.207023,100,76.73017
84.693554,79,77.098271
107.385438,100,77.49138
113.849627,100,77.84607
96.91396,100,78.255598
117.112004,100,78.66186
47.991387,100,79.048485
-41.778245,100,79.508186
-20.095668,99,79.888513
53.53458,100,80.260121
101.229504,100,80.670691
103.056755,100,81.100863
84.12987,100,81.578422
121.244406,100,81.97635
102.666028,100,82.359686
120.106619,100,82.769256
84.695823,100,83.234406
110.772372,100,83.666314
0.003457,100,84.078123
6.258651,77,84.377603
10.312075,97,84.749222
81.470109,100,85.093503
114.646977,100,85.560157
69.353469,53,85.773112
110.053835,100,86.237656
103.239075,100,86.631276
100.795642,100,87.064974
102.159893,100,87.55216
26.588332,100,87.990085
104.19528,100,88.543021
99.623558,100,88.989966
109.878072,100,89.376195
110.707467,100,89.827089
101.197411,100,90.269546
5.446228,100,90.803493
1.539186,73,91.232333
-16.020306,100,91.951751
45.959496,100,94.664533
107.146913,100,95.309796
108.354197,100,95.799345
108.390906,100,96.381302
98.800098,100,96.852897
103.424536,100,97.333785
94.783027,91,97.780163
109.671694,100,98.362707
106.481732,100,98.894383
72.513428,100,99.497266
108.100377,100,100.274761
107.228358,100,100.866969
72.018626,100,101.5086
105.395816,100,102.084713
34.436316,100,102.591653
70.348032,100,103.108693
7.319484,89,103.682097
60.789392,63,104.081444
32.944617,100,104.759612
80.672796,100,105.254124
108.158078,100,105.852612
77.334025,69,106.407192
63.982696,100,107.081386
61.612506,100,107.62792
98.918923,100,108.12302
106.619846,100,108.572576
85.122257,100,109.14338
61.529827,100,109.724828
110.021158,100,110.2906
105.731475,100,110.789613
59.795151,100,111.423349
44.712416,83,111.924625
84.489847,77,112.388766
10.411683,100,113.020985
74.733977,100,113.655092
94.256221,100,114.211215
100.493921,100,114.772892
112.580744,100,115.838376
99.548635,100,116.490652
65.829201,84,116.959866
111.019771,100,117.426201
103.987218,100,118.066022
78.804399,100,118.740605
90.380897,100,119.346313
106.265874,100,119.916114
38.550779,97,120.532314
88.457367,100,121.102419
29.09727,100,121.693178
65.577792,100,122.140073
96.984897,100,122.571289
80.707924,83,123.037709
76.259266,90,123.437333
106.314166,100,126.098156
97.298044,88,126.486893
93.82008,100,126.919976
102.382033,100,127.471272
107.228494,100,127.908888
76.103349,100,128.386724
105.239266,100,128.81953
100.99074,100,129.305249
77.266703,100,129.824146
110.193312,100,130.272742
110.242674,100,130.741271
98.754526,100,131.1863
104.752457,100,131.642504
103.598291,100,132.15898
107.087652,100,132.631512
85.744561,100,133.0692
102.257388,98,133.507799
105.646976,100,133.976784
16.019921,100,134.467915
78.657891,87,134.867849
111.543134,100,135.35813
75.570388,100,135.784979
109.589966,100,136.241538
79.804958,100,136.88374
108.506243,100,137.366345
108.590563,100,137.858572
54.380328,43,138.033892
103.524267,100,138.500117
106.690825,100,139.008149
104.878757,98,139.484933
78.037994,65,139.783388
91.36979,100,140.284772
109.373469,100,140.783375
104.087356,100,141.350873
93.507219,100,141.783916
107.74571,100,142.217074
107.511705,100,142.690983
107.501589,100,143.150615
111.447435,100,143.709467
32.20473,100,144.15021
99.820288,100,144.63466
106.587065,100,145.090009
92.861817,78,145.456161
107.72905,100,145.939689
109.481231,100,146.416234
89.267478,100,146.869832
93.63184,97,147.299749
106.865826,100,147.791011
90.943429,100,148.257606
112.115186,100,148.727075
104.232875,100,149.202773
10.788747,100,149.632538
112.78874,100,151.915308
60.176958,100,152.574295
106.524825,100,153.039985
106.261427,100,153.481931
110.845939,100,153.939138
106.7182,100,154.443808
110.961146,100,154.947292
104.770702,100,155.387891
100.749862,100,155.854458
99.171023,100,156.306097
103.428882,100,156.797902
31.909798,100,157.314986
17.450555,72,157.631069
63.052533,100,158.074613
108.765806,100,158.525375
109.215701,100,159.002952
106.069162,100,159.529534
107.341065,100,159.980689
110.104842,100,160.429286
69.738093,60,160.826195
109.573948,100,161.284475
104.047625,100,161.795649
99.541734,91,162.217998
115.507097,100,162.693662
54.048332,100,163.13223
104.679232,100,163.58316
98.774933,88,164.03626
110.054603,100,164.478847
110.247715,100,164.929796
106.217398,100,165.412829
106.75089,100,165.841926
42.034307,56,166.163829
52.398298,60,166.423504
87.830688,100,166.845994
103.794359,94,167.245766
93.763588,100,167.712426
105.633798,100,168.196224
109.603508,100,168.71221
97.630785,100,169.129046
103.156838,100,169.578538
76.491754,100,170.026963
68.683006,100,170.556653
110.894752,100,171.045442
103.802918,100,171.511707
99.77007,100,171.97837
49.371027,100,172.367033
84.260033,100,172.856267
108.882766,100,173.367566
74.042983,100,173.967168
54.020287,100,174.393285
107.075557,100,174.859905
102.152135,100,177.198517
102.416919,100,177.700407
107.758843,100,178.242668
102.537907,97,178.693517
108.669244,100,179.159954
101.628793,100,179.650102
89.739852,82,180.071221
104.575503,100,180.510043
106.208877,100,180.976616
110.676254,100,181.493141
107.17637,100,182.092934
112.338112,100,182.558419
105.774975,100,183.025234
99.968611,100,183.5092
66.602373,55,183.811955
111.061487,100,184.409321
111.638514,100,184.942598
62.598561,100,185.55038
90.457042,88,186.079775
37.216515,100,188.341828
24.007609,100,188.865232
83.481655,100,189.37549
109.381272,100,189.848018
100.326719,100,190.324662
99.047177,100,190.782166
111.736682,100,191.157806
87.717741,83,191.524264
104.478779,100,191.941083
100.990706,100,192.378807
100.253106,100,192.840725
110.86753,100,193.273025
109.386679,100,193.689009
112.056301,100,194.088487
84.331887,73,194.37276
11.864069,100,194.802559
62.657173,100,195.172759
82.361108,100,195.639468
64.29373,100,196.089533
106.33648,100,196.505741
110.672752,100,196.915463
111.978089,100,197.455556
102.183036,100,197.856468
105.720125,100,198.310983
82.252409,100,198.66443
12.939776,100,199.088551
16.417657,100,199.526369
14.459059,100,199.883484
4.984285,100,200.294626
16.227775,67,200.58532
3.516175,100,201.005865
5.867951,100,201.429767
7.007736,100,201.820785
8.847832,100,203.944376
25.999074,100,204.322043
18.304336,100,204.710187
66.975868,100,205.071759
35.949406,73,205.347056
99.673354,100,205.820604
17.942619,100,206.293926
97.305074,100,206.691127
87.043086,75,206.98777
77.398789,80,207.276699
107.060116,100,207.63731
79.881936,73,207.936887
108.812038,100,208.439729
81.13303,100,208.804008
12.369889,100,209.204411
37.338715,100,209.570992
28.557727,93,209.935516
21.998923,100,210.309332
85.63095,100,210.808215
75.835782,65,211.101993
75.075872,69,211.369938
110.742518,100,211.763534
104.592332,100,212.152812
79.254155,100,212.732148
41.855985,84,213.070278
17.926947,100,213.523899
88.856196,100,213.901408
108.539727,100,214.302332
108.14528,100,214.686633
94.005487,100,215.145206
59.893693,52,215.36422
97.600922,91,215.701495
104.834877,100,216.157069
99.812486,100,216.552984
83.308435,100,216.958228
89.207462,100,217.400639
100.489472,100,217.820055
109.749829,100,218.202665
85.354814,100,218.668178
110.992152,100,219.057736
113.68849,100,219.525101
111.081999,100,219.908019
95.515168,100,220.325302
93.820008,100,220.702103
92.403751,100,221.15444
78.497355,100,221.534387
106.915841,100,222.008107
77.7865,100,222.435148
87.655964,77,222.741814
92.615816,78,223.053281
85.909383,73,223.378314
118.213057,100,223.800566
115.932637,100,224.26412
120.132535,100,226.181034
113.246051,100,226.615723
105.662323,100,227.000859
23.79401,100,227.398849
41.644602,100,227.783144
72.409105,100,228.167314
109.440777,100,228.666393
107.303823,100,229.049399
111.231911,100,229.467582
82.53561,100,229.816182
83.945229,100,230.254623
109.643677,100,230.676877
116.831574,93,231.101607
95.620067,85,231.449022
105.726137,100,231.848997
99.630608,100,232.266667
114.659039,100,232.649921
99.979542,100,233.199708
83.402162,90,233.568059
108.134526,100,233.999571
89.64663,100,234.365168
129.510406,100,234.765113
91.440983,80,235.090296
111.984426,100,235.538251
33.28491,83,235.852113
94.780481,100,236.265884
100.760475,100,236.739133
116.889129,100,237.132385
98.727185,100,237.520765
96.683703,100,237.948606
105.028447,93,238.314847
111.026642,100,238.731044
111.904326,100,239.178978
89.516466,82,239.497533
58.912149,46,239.664226
109.559531,100,240.123848
84.976494,63,240.365106
88.477711,78,240.712018
122.818361,100,241.079593
118.238184,100,241.514907
89.053619,100,241.965484
111.295525,100,242.397602
83.782739,100,242.796948
104.294596,100,243.180159
123.121227,100,243.696491
128.571334,100,244.180073
125.62031,100,244.667686
77.544213,83,245.107217
84.943849,60,245.380316
117.793714,100,245.896374
111.392635,93,246.347394
129.69179,100,246.828954
112.264227,100,247.365819
94.712839,73,249.447258
97.448846,100,250.187433
90.066619,100,250.685195
107.975069,100,251.213058
23.360275,100,251.672613
26.50472,100,252.34215
18.804821,100,252.826176
93.186233,100,253.392541
121.779062,100,253.963559
103.788356,100,254.479411
119.616524,100,255.011751
98.330751,100,255.816257
70.659953,100,256.343799
107.576428,100,256.847786
103.89049,100,257.291769
112.367657,100,257.762537
115.335145,100,258.227402
118.882787,100,258.769995
119.189379,100,259.337588
107.786913,100,259.88249
98.252752,100,260.488905
91.396084,100,260.988451
110.26923,100,261.460548
88.260806,64,261.82433
121.020922,100,262.361025
100.872301,100,262.916129
30.343285,100,263.535435
37.934267,100,264.092352
51.706041,100,264.613176
14.763939,100,265.210665
87.707354,94,265.6619
127.918044,100,266.134555
74.947098,100,266.76469
114.854632,100,267.325555
72.084177,100,267.87167
15.245488,87,268.388074
24.552392,100,268.849727
20.558698,100,269.4346
20.947336,74,269.846233
15.091926,100,270.483833
116.570032,100,270.94501
94.818583,100,271.430576
25.133751,97,271.90705
44.705842,51,272.131666
34.513114,56,272.586712
91.731732,100,273.269902
89.25889,100,273.84117
99.234183,100,274.460634
83.257994,100,275.020057
90.564829,100,275.595057
120.417043,100,276.075302
112.474872,100,276.810432
108.023356,100,279.565315
126.576649,100,280.121472
107.024564,100,280.678628
118.781947,100,281.291051
114.361874,99,281.807734
111.4087,100,282.466802
