#{"t_start": 1764263690.358363, "env_id": "None"}
r,l,t
-4.085606,34,0.163752
2.438258,29,0.295946
3.210735,76,0.573184
27.588117,100,0.927223
53.471007,100,1.250956
1.56465,93,1.550759
59.835735,100,1.924748
82.075018,100,2.218341
77.616653,100,2.58878
62.858116,100,2.914053
45.99656,100,3.255208
71.375234,100,3.618079
61.174623,100,3.961987
83.483203,100,4.252241
75.157573,100,4.567914
93.491137,100,4.95386
58.426218,100,5.304615
73.817815,100,5.658941
58.889956,97,6.000328
83.970323,100,6.43857
67.503413,100,6.776124
62.882889,76,7.076579
68.180068,100,7.400689
57.808524,100,7.724951
33.792877,100,8.033259
82.788296,100,8.372265
81.573273,100,8.756159
72.786452,100,9.083598
82.059469,89,9.416857
80.259481,100,9.752275
95.85062,98,10.058829
56.4002,100,10.387094
49.234008,78,10.648993
68.015853,100,10.989098
92.497896,100,11.348934
74.620975,100,11.714437
87.673765,100,12.049826
54.360798,100,12.384748
57.964662,100,12.715017
66.653594,100,13.031242
44.32929,100,13.348525
55.525418,100,13.72439
24.752848,100,14.11616
-35.973606,100,14.464673
24.811206,100,14.773859
39.520502,100,15.118036
41.828606,100,15.430479
40.897344,100,15.775414
59.643203,100,16.164787
47.998029,100,16.520815
59.992732,100,16.879108
86.705091,100,17.197843
71.593027,81,19.013119
100.019189,100,19.37164
86.730177,100,19.681539
93.649531,100,20.0221
91.398684,100,20.331627
96.838904,94,20.69551
80.283501,100,21.014426
82.816939,100,21.314676
20.538026,100,21.65292
15.066586,100,22.013952
75.205084,100,22.353048
44.249656,52,22.542771
75.308923,100,22.913213
32.619763,100,23.221982
60.783078,100,23.530448
103.363963,100,23.880835
86.797562,100,24.230323
67.389683,73,24.479741
94.807626,100,24.802651
98.175173,100,25.190217
90.29486,100,25.513198
82.665065,75,25.771248
92.652297,100,26.094653
58.661125,62,26.294983
101.628088,100,26.613416
82.202453,100,26.962591
77.989698,71,27.241113
98.457933,100,27.613096
88.845396,100,27.913444
51.512805,100,28.329947
50.481506,52,28.530155
75.060018,100,28.84665
78.458854,74,29.202632
99.786767,100,29.678602
100.263541,100,30.115707
59.293217,64,30.362987
81.322537,100,30.762262
100.051705,100,31.136097
108.53769,100,31.478492
64.417416,78,31.711634
51.065088,58,31.951011
91.485882,100,32.270755
100.922977,100,32.579256
93.220593,100,32.916338
95.123758,100,33.293691
74.379834,100,33.629083
92.076132,100,33.962302
93.413049,100,34.34458
81.37565,76,34.595575
103.045096,100,34.925737
71.368439,100,35.23242
95.113964,100,35.565653
108.936903,100,35.927255
71.28304,69,36.161605
89.228494,99,37.995639
112.017102,100,38.327112
75.691902,79,38.647275
91.322577,100,38.97699
107.745638,100,39.310256
90.05521,98,39.664604
89.795408,100,39.988485
95.242413,100,40.334285
99.143028,100,40.674603
83.453305,100,41.167524
96.813191,100,41.510085
109.585113,100,41.814087
80.173878,100,42.110754
100.2808,100,42.443684
104.893358,100,42.777683
106.007097,100,43.152656
97.603999,100,43.49938
100.745126,100,43.860449
93.206953,100,44.292307
94.539857,100,44.575938
94.243181,100,44.924796
83.369656,86,45.253136
92.437688,100,45.61009
92.674669,96,45.925978
101.197635,100,46.34333
86.061164,76,46.615451
92.700081,100,47.042247
90.152154,100,47.429403
109.141187,100,47.826758
103.298647,100,48.142838
94.161012,100,48.488337
105.326276,100,48.842722
119.746742,100,49.240004
97.39433,100,49.608456
112.710311,100,50.026325
104.899181,100,50.358711
112.90739,100,50.708527
116.218699,100,51.00909
105.841601,100,51.336341
92.554023,100,51.675229
108.8437,100,51.980749
110.806696,100,52.393864
101.962151,100,52.730058
97.504557,100,53.057816
108.350417,100,53.357594
96.551232,100,53.671205
92.952029,100,53.990779
63.973352,60,54.173074
97.394982,100,54.557696
118.284781,100,54.908203
110.329105,100,55.257624
111.920715,100,56.990876
106.493377,100,57.327258
99.499959,100,57.684511
99.289696,100,58.02765
104.524647,100,58.324378
104.409968,100,58.673329
110.174197,100,59.040864
111.347382,100,59.374184
108.984159,100,59.671384
122.706294,100,59.95806
109.854327,100,60.322944
88.599825,62,60.540634
111.597378,100,60.85623
100.696378,100,61.240566
115.109261,100,61.58287
107.791001,100,61.928168
