#{"t_start": 1764262328.581842, "env_id": "None"}
r,l,t
-22.860138,71,0.281186
40.832092,100,0.755328
55.170936,86,1.051942
45.784047,100,1.407892
-7.087821,100,1.866882
94.28333,100,2.256436
66.146782,100,2.602186
73.63285,100,3.819561
53.272522,100,4.520571
79.048192,100,4.943478
82.175222,84,5.518698
79.671604,100,5.985099
66.58144,93,7.022537
36.321987,100,7.513398
39.270528,100,8.109727
41.484571,100,8.52681
85.720344,100,9.374489
78.576842,100,10.234943
63.147693,100,10.711759
77.184716,100,11.476237
49.786608,100,11.980714
80.826797,100,12.494805
76.872845,100,12.972823
60.014536,100,13.362879
42.933202,100,13.76858
-5.801369,73,14.429858
10.539831,94,15.092187
64.572203,96,15.686498
59.214442,100,16.154356
58.153612,87,16.527206
55.164812,100,16.918008
68.746997,100,17.54603
28.40825,100,17.925927
48.392687,100,18.295461
71.556335,100,18.8308
78.819953,100,19.2019
59.129518,100,19.61206
60.727026,100,20.553835
79.643737,100,21.007394
59.889154,100,21.88985
63.177585,100,22.469073
69.351931,100,22.901509
55.982656,100,23.474828
54.492124,100,23.851955
76.378011,100,24.238637
75.529962,100,25.002188
48.82871,100,25.417778
92.142638,100,26.30242
43.223467,99,26.795652
42.230794,73,27.512581
64.153941,100,28.023749
75.312271,100,30.388004
58.079324,100,30.948557
43.799244,63,31.177302
84.996816,100,32.1514
63.548275,100,32.827054
90.326527,100,33.269815
66.724128,100,33.863811
48.836625,94,34.216578
57.952923,100,34.649999
44.439095,62,35.085438
61.6173,100,35.46451
90.612427,98,35.863048
87.397467,89,36.21213
84.348929,100,36.783113
48.667028,83,37.468049
75.076475,100,37.952178
31.299818,87,38.800114
50.762575,100,39.205027
99.998049,100,39.721526
91.163922,100,40.128752
86.105089,100,40.481089
59.642593,100,41.045991
83.506598,100,41.432757
68.340904,89,41.817267
67.353118,67,42.08651
83.310661,100,42.440812
74.371579,100,43.070882
104.186791,100,43.546304
87.383893,100,44.522589
94.081563,100,44.98021
80.118021,100,45.352062
92.058543,100,45.703329
82.297933,100,46.098019
91.817803,100,46.488184
94.643458,100,47.10793
73.709763,100,47.482742
74.923385,100,47.858885
45.006065,100,48.517158
84.598192,100,48.966816
103.339591,100,49.94963
84.479618,100,50.364522
