#{"t_start": 1764264147.0070379, "env_id": "None"}
r,l,t
20.562024,100,0.445659
43.819124,100,0.851235
16.145054,100,1.206272
23.932275,62,1.430103
58.323284,100,1.800233
38.56579,100,2.210428
35.017773,99,2.572297
51.340259,100,2.915821
45.887154,70,3.163784
42.034426,100,3.486774
45.366805,100,3.853562
41.130204,47,4.011121
48.928213,100,4.381793
45.357913,100,4.754816
59.796293,100,5.153135
30.639122,100,5.454857
66.608173,100,5.859317
39.354802,100,6.28134
59.7294,100,6.614636
49.914637,100,7.081894
53.944777,100,7.450398
79.635661,100,7.94031
98.363119,100,8.336241
89.633803,100,8.764129
98.005554,100,9.093199
78.868744,100,9.435877
87.983738,100,9.832964
64.670333,67,10.025578
68.84642,67,10.297446
76.343432,100,10.699103
37.790553,100,11.170726
30.849278,85,11.434369
42.400974,100,11.798592
74.824419,100,12.113526
98.153175,100,12.499712
76.475805,100,13.141771
60.164768,97,13.629204
51.085132,100,14.045089
51.483256,100,14.414519
58.306011,100,14.793483
71.006303,100,15.116506
73.999164,100,15.447314
71.329192,100,15.843433
76.191147,100,16.181082
86.186008,94,16.512677
99.36157,100,16.89019
57.315839,75,17.163534
79.217828,100,17.516792
83.931224,100,17.895814
98.626385,100,18.45415
85.362986,100,18.843308
69.315954,100,19.362596
80.552149,100,21.246252
74.453087,100,21.563761
63.151205,100,21.928296
94.738021,100,22.311654
76.466671,100,22.694875
90.758307,100,23.091513
61.273093,100,23.444741
77.985739,100,23.928345
84.338781,100,24.343853
61.162097,100,25.383848
65.978338,100,25.818762
86.786885,100,26.179753
95.643196,100,26.527459
73.522796,100,26.893678
82.410995,100,27.275666
71.513912,100,27.65573
74.765295,100,28.030701
85.846757,93,28.393992
74.847127,100,28.762229
63.617689,100,29.349982
91.831745,100,29.880075
95.996846,100,30.544327
56.745611,99,30.961126
56.081416,64,31.228128
97.600756,100,31.660897
69.062162,100,32.083751
59.447169,84,32.448817
85.758498,100,32.798942
81.82276,100,33.149533
83.933237,100,33.510775
79.340095,100,33.876667
67.488766,71,34.140896
49.559431,70,34.391549
88.492875,100,34.909298
93.76959,100,35.293385
70.4752,100,35.794963
70.675588,98,36.157795
79.611958,100,36.526213
89.755654,100,36.918303
87.71598,100,37.258644
87.648637,100,37.593408
97.748896,100,37.90854
77.23257,100,38.241807
79.439657,92,38.542019
66.261754,100,38.861137
101.383213,100,39.225282
70.701985,100,39.561306
94.605139,100,39.890614
88.973291,100,40.372324
52.77133,62,40.614209
103.767975,100,41.09235
87.493907,100,41.513923
58.335758,82,43.435851
98.706464,100,43.791456
86.920254,100,44.1377
84.746672,100,44.44126
104.954981,100,44.778116
91.161851,100,45.091558
97.144506,100,45.424829
100.377877,100,45.997761
87.806513,96,46.444749
99.01658,100,47.041265
86.124034,100,47.423328
104.43297,100,47.816503
94.737684,100,48.225002
93.470139,100,48.669603
109.616313,100,49.220248
90.916794,100,49.808006
122.76991,100,50.29201
90.941788,100,50.660946
90.692399,100,51.248084
86.652469,81,51.657526
106.682447,100,52.125874
97.482434,100,52.562454
99.044884,100,52.939111
99.813602,100,53.499676
98.729703,100,53.887834
99.73392,100,54.568014
98.035211,100,55.043011
71.909649,100,55.633647
113.139725,100,56.273142
109.126813,100,56.773266
98.431243,100,57.317514
83.404417,100,57.70581
100.199727,100,58.145619
80.096581,100,58.572501
80.201769,77,58.913275
109.439376,100,59.325304
48.570159,53,59.521147
99.827198,100,60.33953
63.598788,100,60.959413
109.525193,100,61.472152
99.813245,100,61.931744
85.499007,100,62.312309
96.349278,99,62.847695
106.267346,100,63.202977
100.498271,100,63.58812
70.447094,100,63.93694
96.444932,100,64.304639
106.188509,100,64.654567
94.811801,100,65.139532
100.46825,100,65.520744
66.603801,100,66.03721
108.630944,100,68.32809
107.524773,100,68.636971
95.498336,89,69.006718
109.162814,100,69.347507
100.231791,100,69.794088
97.46026,100,70.193533
102.651939,100,70.553035
91.111523,100,70.902252
109.091825,100,71.22229
102.769213,100,71.536389
101.882845,100,71.942563
87.511876,100,72.285343
102.7021,100,72.635161
98.440599,100,73.03974
95.625262,100,73.387002
94.38251,100,73.835441
96.718582,100,74.270515
91.968911,100,74.623747
111.492412,100,74.969076
98.642089,100,75.268108
49.498007,100,75.740789
96.815283,100,76.094601
106.48698,100,76.467917
75.114332,70,76.685463
103.919874,100,76.968854
78.175022,79,77.256736
108.336383,100,77.595379
106.23677,100,77.899887
99.749656,100,78.234226
105.693051,100,78.808275
105.914572,100,79.178067
109.727795,100,79.550657
109.932242,100,79.900797
104.31667,100,80.29697
106.749802,100,80.681694
110.233025,100,81.154083
106.81299,100,81.558427
90.838251,100,81.93469
100.583921,100,82.267956
104.076579,100,82.646088
94.314078,100,83.208802
104.282098,100,83.569945
105.376843,100,83.865401
105.731723,100,84.191538
95.984431,100,84.566611
110.978846,100,84.964325
52.87233,87,85.321296
86.283906,100,85.694417
80.331572,74,85.973034
102.710498,97,86.333602
106.009389,100,86.716558
92.042553,93,88.662712
105.787081,100,89.098765
105.954352,100,89.499751
110.679742,100,89.979616
108.116386,100,90.348595
100.584261,100,90.722411
51.275713,100,91.105067
107.875952,100,91.397354
110.401301,100,91.737911
106.799967,100,92.134997
73.080511,64,92.472646
107.92837,100,92.815399
110.086385,100,93.188305
97.701857,100,93.558655
107.577766,100,93.932376
108.93558,100,94.353997
101.83441,100,94.75734
112.18143,100,95.162458
97.799321,100,95.476369
107.924892,100,96.058184
108.304517,100,96.510056
81.524868,100,96.914012
112.30792,100,97.330609
100.184403,100,97.740823
83.186334,76,98.223598
105.805608,100,98.624786
105.152857,100,99.027376
111.180539,100,99.393593
105.656194,100,99.751418
100.788339,100,100.07319
111.938647,100,100.422686
97.871444,100,100.775907
94.513119,100,101.096599
109.724574,100,101.513116
99.178815,94,101.848105
88.967755,100,102.251031
108.86502,100,102.562931
109.743906,100,102.896189
95.968027,100,103.283127
89.236836,100,103.668405
117.447459,100,104.0362
111.849665,100,104.39272
98.983137,100,104.779285
107.3484,100,105.129146
115.167267,98,105.623544
83.342744,72,105.973277
97.407056,100,106.469145
105.831557,100,106.903955
102.916158,100,107.30806
111.587092,100,107.720666
107.189077,100,108.132372
100.742017,100,111.545287
113.286022,100,111.99629
73.152391,60,112.291597
107.19299,100,112.737726
99.040252,100,113.148732
84.490963,76,113.516007
115.783025,94,113.870766
111.129257,100,114.249774
94.058808,68,114.483093
107.622651,100,114.905044
109.187359,100,115.3408
117.150392,100,116.144571
104.773152,100,116.824755
78.380302,77,117.644684
94.433625,83,118.026699
116.10846,100,118.477435
111.373654,100,118.900785
96.3429,100,119.284782
105.877616,100,119.66705
127.759547,100,120.108409
107.686186,100,120.491115
109.160157,100,120.920128
97.107801,100,121.448847
121.949266,100,121.999714
111.815739,100,122.404586
127.02856,100,122.769838
106.703242,100,123.205255
118.566421,100,123.756718
101.443365,82,124.272703
103.650831,100,124.836392
99.919811,100,125.370416
114.765304,100,125.83945
102.264529,100,126.356055
115.89707,100,126.820247
96.816046,100,127.194659
112.694267,100,127.886969
82.514493,62,128.313833
124.291346,100,128.849244
