#{"t_start": 1764263382.6949146, "env_id": "None"}
r,l,t
-34.425927,96,0.434908
29.819365,100,0.809825
32.697949,52,1.033436
37.505154,100,1.387334
78.875576,100,1.740609
72.888446,100,2.114814
3.566519,78,2.447878
78.380496,100,2.740288
68.42497,100,3.075593
61.94307,100,3.393151
67.152716,92,3.722528
60.103765,100,3.972149
48.456847,100,4.190006
49.647405,100,4.423114
67.17112,100,4.711968
53.701372,100,5.061642
50.129963,100,5.36606
64.250895,100,5.571955
67.40458,100,5.963427
79.617598,100,6.263101
54.190176,100,6.522636
72.040743,90,6.78827
51.054753,100,7.081181
93.308873,100,7.304797
71.714551,100,7.522115
88.901356,100,7.755138
92.086476,100,7.982361
20.587871,100,8.204951
53.416205,100,8.471242
66.758883,100,8.736611
59.948986,100,9.08289
61.268061,100,9.463256
30.463475,100,9.730036
80.976178,100,10.000543
98.631539,97,10.249974
64.971483,77,10.439025
87.713363,94,10.773419
61.649949,100,10.9987
103.957792,100,11.30576
87.94417,100,11.728506
114.594627,100,11.954566
84.090893,83,12.177246
67.938185,100,12.404783
85.102897,100,12.643313
70.376723,71,12.81617
108.393989,100,13.093211
88.139658,100,13.355566
94.914841,100,13.60003
104.557678,100,13.879318
61.33369,100,14.149497
75.26876,100,14.533584
90.706276,100,16.410082
104.995994,100,16.653966
82.989632,100,16.916072
103.226143,100,17.180038
60.022259,100,17.467979
61.679976,100,17.703043
67.866351,100,17.951822
117.74531,100,18.203039
112.464807,100,18.56301
69.829223,100,18.887739
87.597708,100,19.40002
44.179784,46,19.595465
75.48263,100,19.873789
98.821191,100,20.120708
87.162402,79,20.323037
94.433274,100,20.573649
62.991676,100,20.903304
95.602086,97,21.136594
74.809261,68,21.308242
102.11214,100,21.55758
87.3029,100,21.810727
86.676356,74,21.984635
113.282504,100,22.236377
90.478061,100,22.508217
108.035187,100,22.751143
104.651138,100,23.07525
48.72745,82,23.302822
52.239231,87,23.518406
91.848367,100,23.751589
88.121065,100,24.000592
89.58105,93,24.202706
88.504323,100,24.426929
92.672763,100,24.66923
72.261142,100,24.901837
66.603377,100,25.177201
75.954351,100,25.468753
25.206017,83,25.666304
71.366596,100,25.866923
49.386254,68,26.042662
60.091648,100,26.279115
99.779919,100,26.518771
85.018951,90,26.768255
102.007459,100,27.067442
109.482738,100,27.296964
119.942497,100,27.689517
98.51318,92,28.009269
95.790103,100,28.341005
86.132756,100,28.670734
103.780099,100,28.950828
84.520238,100,29.272202
110.05902,100,29.534371
81.424668,100,30.136543
99.756155,100,30.477802
50.813669,81,32.353713
69.070581,100,32.674043
93.796179,100,32.953761
98.45339,100,33.288311
108.319839,97,33.640283
107.996126,100,33.986061
113.222858,100,34.291355
91.246277,100,34.62506
87.863366,100,35.004268
71.343084,100,35.319321
68.466225,100,35.671849
81.368728,100,35.984671
96.153273,100,36.267333
102.772644,100,36.594378
80.336031,63,36.791634
75.403931,100,37.295385
87.087571,100,37.668146
63.112762,76,37.987151
79.157306,100,38.309
80.648619,100,38.666865
85.909141,85,38.971821
76.596819,100,39.42762
105.203092,100,39.786895
68.304423,100,40.067738
102.871827,100,40.350024
96.279338,100,40.649541
110.623362,100,40.97783
95.77412,100,41.286214
106.656129,100,41.622697
91.15146,100,41.976259
107.062366,100,42.30477
82.166177,75,42.576541
107.790501,100,42.913513
99.40693,100,43.214304
85.513048,100,43.499441
66.146006,100,43.842272
97.811675,100,44.199721
85.742,100,44.448918
91.323642,100,44.867409
98.563013,100,45.187455
94.397515,100,45.49724
90.900497,100,45.831963
72.66874,100,46.132414
83.243095,100,46.482855
83.254323,100,46.988275
104.388109,100,47.27679
70.756416,100,47.553425
105.561764,100,48.101446
80.62142,100,48.379997
94.670074,100,48.782348
68.994884,100,49.063289
71.763097,100,51.124447
73.860833,88,51.39769
99.15976,100,51.745999
47.37372,100,52.133074
102.379531,100,52.412588
70.353289,55,52.635048
112.184705,100,52.947278
86.839283,71,53.17622
96.376797,88,53.50796
108.54656,100,53.763756
122.220606,100,54.047433
90.279996,100,54.485651
97.31353,100,54.785426
106.663814,100,55.14575
83.001446,64,55.351048
74.982476,100,55.680428
101.724406,82,55.897051
102.207713,100,56.160044
72.964623,100,56.429268
92.256147,96,56.662276
82.422115,100,56.974492
75.842571,64,57.131322
76.473377,100,57.413214
82.411659,100,57.904604
79.39238,100,58.227885
86.617098,100,58.47844
117.475159,100,58.752195
87.033181,100,58.996268
103.07812,100,59.284078
103.926032,100,59.533844
97.808819,100,59.796506
104.175794,100,60.076925
77.792227,100,60.425437
92.869733,100,60.694782
96.46272,100,60.995523
80.779692,93,61.260757
72.780938,100,61.512691
94.982595,100,61.812899
84.319694,100,62.061807
111.675037,100,62.328649
60.530207,100,62.644575
66.340179,100,62.8953
103.792099,100,63.150745
100.048169,100,63.425951
91.375643,91,63.664019
114.152256,100,63.966156
117.551899,100,64.249883
93.15079,100,64.510266
83.571879,66,64.718482
101.194718,100,64.994834
94.603091,100,65.251265
109.811638,98,65.482836
67.534063,100,67.278465
36.472695,61,67.461643
73.057899,100,67.740877
89.806777,100,68.038505
69.769296,61,68.196291
110.679798,100,68.461885
118.770818,100,68.750146
110.517796,100,69.009357
47.798719,77,69.267354
105.72661,100,69.954197
106.056871,100,70.321609
77.764775,100,70.654338
70.667629,100,70.971845
106.942385,100,71.260889
61.972616,60,71.438578
85.614202,100,71.854863
100.247071,100,72.173978
102.040934,100,72.497874
73.731223,63,72.70675
111.500362,100,73.049399
62.446644,100,73.373752
100.592495,81,73.665398
104.819926,100,74.107499
106.131852,100,74.442205
110.575703,100,74.792647
98.046335,100,75.059577
83.432666,100,75.318848
76.044716,100,75.551464
108.43362,100,75.793552
105.621997,100,76.027811
93.988615,74,76.276557
117.81532,100,76.661979
110.810597,100,76.969292
123.188405,100,77.246023
109.276584,100,77.597896
111.374682,100,77.910543
110.286757,100,78.231333
123.741843,100,78.589074
105.5737,100,79.101045
110.822365,100,79.343932
104.231324,100,79.653849
118.191551,100,79.941412
111.435409,100,80.174732
81.949323,100,80.44237
103.309656,100,80.761623
92.432449,100,81.018469
102.1387,100,81.386471
99.665234,100,81.654683
99.468691,100,81.92506
108.958736,100,82.17108
105.958131,100,82.495848
99.890686,100,82.745097
64.960918,79,82.957536
116.372766,100,84.735276
112.765803,100,85.003308
117.151213,100,85.351287
86.180259,100,85.750187
82.065308,100,86.04532
63.670259,77,86.2421
73.643953,81,86.481013
79.642692,100,86.774991
102.732225,100,87.132447
83.396395,92,87.442249
97.705955,100,87.766648
107.623546,100,88.173167
69.242169,73,88.446495
60.070352,47,88.625181
83.807141,100,88.962237
111.509175,100,89.261857
69.24421,67,89.435103
109.762368,100,89.763404
115.56037,100,90.110583
115.936207,100,90.457126
60.439135,100,90.79609
100.290156,100,91.06344
113.516637,100,91.36464
98.536106,100,91.632651
102.107588,100,92.058166
111.138638,100,92.321437
69.934233,80,92.580559
107.845134,100,92.906425
85.669088,74,93.17287
98.880034,100,93.406554
99.021494,100,93.738056
114.741695,100,94.055885
120.101511,100,94.38537
111.022456,100,94.707368
63.617173,55,94.913609
61.896639,45,95.056351
78.546661,100,95.388578
86.852856,100,95.740758
85.493879,100,96.088195
108.830287,100,96.427674
75.461231,74,96.656642
116.121836,100,96.922239
94.378099,100,97.229571
110.525126,100,97.460806
104.9419,100,97.73205
100.970777,84,97.951368
111.69839,100,98.204431
78.041611,76,98.423841
88.591899,100,98.739895
112.9102,100,99.039594
86.575778,75,99.234759
116.000851,100,99.584388
88.863414,100,99.920444
107.420566,100,100.337
101.0471,100,102.42051
102.284389,100,102.746484
86.57774,100,103.003132
113.150838,100,103.29644
116.855543,100,103.570256
96.409553,100,103.962885
99.343555,100,104.241632
79.78735,98,104.454752
91.797523,93,104.752616
82.628534,100,105.037923
77.412033,100,105.320828
107.312909,100,105.55326
103.724521,100,105.787232
112.464895,100,106.037014
90.705054,76,106.25338
82.383121,73,106.466126
112.823146,100,106.719445
103.448008,100,107.021202
92.423508,100,107.377512
96.758591,100,107.875415
94.839459,95,108.246397
86.718602,75,108.527644
114.532823,100,108.868393
104.865497,97,109.188375
101.201318,100,109.518465
88.066966,100,109.781332
73.89647,100,110.029963
102.500374,100,110.31872
103.799581,100,110.638625
112.641171,100,111.001287
77.993462,100,111.29889
83.209635,100,111.551199
86.274557,93,111.819486
97.917444,100,112.168893
107.118756,100,112.418102
98.258774,100,112.786692
113.891431,100,113.165077
104.591898,100,113.483553
113.993389,100,113.785659
109.464595,100,114.074156
121.588049,100,114.48448
80.233674,98,114.806576
88.408515,94,115.090233
111.505523,100,115.408916
105.128545,100,115.684303
111.725707,100,116.004608
110.837628,100,116.285035
93.611754,100,116.539317
112.145429,100,116.818558
89.667111,100,117.068317
86.736421,100,117.337489
112.483533,100,119.622271
87.121163,100,119.99551
104.937267,100,120.340842
113.652851,100,120.641574
110.540433,100,120.866621
110.896575,100,121.107883
98.121359,100,121.441566
113.418406,100,121.73312
117.804571,100,122.022833
76.326521,100,122.394006
71.67017,68,122.638725
76.824569,72,122.87095
92.968373,100,123.224846
104.573591,100,123.574908
107.055976,100,123.933754
107.27335,100,124.300296
113.007068,100,124.738137
93.804499,84,125.000262
113.855931,100,125.346462
64.581235,54,125.48584
114.682401,100,125.722134
110.946963,100,126.050205
83.53785,81,126.309689
89.933078,100,126.610023
81.225206,63,126.794582
76.402068,100,127.10469
102.980973,100,127.379987
106.296792,100,127.66519
105.303395,100,127.975079
106.410345,100,128.237804
111.60092,100,128.49962
116.008448,100,128.80587
113.90298,100,129.347042
112.277527,100,129.759083
113.585224,100,130.070818
90.616584,100,130.297143
110.569983,100,130.722056
94.817067,100,131.077323
84.40432,100,131.324299
84.562476,100,131.666978
100.620585,100,131.954536
87.289884,100,132.202876
104.302065,100,132.410775
107.335992,100,132.684172
103.817756,100,132.931369
86.486546,100,133.193176
