#{"t_start": 1764265216.962927, "env_id": "None"}
r,l,t
-0.792555,100,0.616329
82.278979,100,0.922274
83.587028,100,1.34603
55.702697,100,1.634161
31.232135,64,1.865858
104.548898,100,2.156536
74.858568,63,2.32306
77.036881,100,2.731518
60.143172,100,3.066819
90.327117,100,3.391898
93.500063,100,3.729855
83.342059,79,3.940455
76.97406,93,4.205118
93.954163,100,4.489908
56.460239,100,4.832564
102.00006,100,5.101239
58.036181,100,5.356844
83.28074,100,5.696219
81.785353,87,5.923525
86.213852,100,6.255433
83.301339,100,6.590789
87.112605,100,7.138445
76.034747,75,7.848099
80.463529,83,8.199213
95.033222,100,8.740305
92.793052,100,9.051133
93.050441,100,9.462972
90.964336,100,9.771626
69.363566,100,10.105977
86.294226,100,10.422914
101.037475,100,10.705791
66.604282,90,11.020261
39.076918,77,11.270766
68.403969,100,11.58734
94.845268,100,11.950131
75.522316,100,12.378699
65.700659,100,12.769413
104.88913,100,13.03758
93.612467,100,13.35248
61.912213,100,13.675983
73.777121,100,14.060429
77.509473,92,14.326978
79.475796,100,14.638458
83.463931,100,14.902963
81.18822,100,15.170993
36.700217,35,15.306602
100.670247,100,15.776882
101.073071,100,16.793985
92.785792,100,17.150339
90.28266,99,17.503583
90.965291,100,17.802375
95.183413,100,18.114128
93.457529,100,19.089482
61.912727,60,19.324522
51.313397,59,19.501978
57.911428,79,19.821656
68.077043,100,20.138519
69.36727,100,20.462492
61.016274,87,20.694328
95.441012,100,21.153892
103.175447,100,21.533202
60.032512,66,21.720372
95.934188,100,22.006639
75.006349,67,22.236551
110.05912,100,22.627846
85.96421,100,22.936399
98.109952,100,23.288346
89.699611,100,23.625682
71.470631,100,23.958695
88.574339,100,24.285231
90.04045,100,24.575085
68.63068,64,24.75224
84.855601,100,25.038083
87.919097,100,25.336944
76.627227,100,25.757208
83.359751,100,26.351847
84.448407,100,26.644581
98.275057,100,26.931054
53.904282,100,27.219153
73.220035,100,27.478882
39.937433,64,27.635198
62.985064,100,27.975596
73.021096,98,28.339386
69.623025,100,28.646402
88.191617,100,28.978894
89.751041,100,29.285798
67.883062,78,29.558397
61.057221,58,29.782227
73.231681,100,30.300048
61.206135,100,30.735065
72.896588,100,31.249854
97.688237,100,31.618078
88.434734,100,32.139504
87.788658,100,32.57745
98.797133,100,33.089827
71.699838,65,33.337322
51.205792,79,33.648578
94.749726,100,33.987153
84.242487,100,34.660916
79.917833,100,35.263354
77.096537,97,35.766439
99.413845,100,36.205927
57.049914,100,36.518383
92.638111,100,36.850733
88.000216,100,37.191106
92.525008,100,37.500608
75.156091,87,39.485715
77.031862,100,39.835622
89.010615,100,40.132455
32.313091,95,40.414815
72.861572,100,40.684242
71.515115,100,40.972409
82.237367,100,41.215682
93.580542,100,41.518632
85.204367,100,41.842988
85.726627,100,42.141676
87.375665,100,42.708222
83.460712,100,43.437892
53.994758,81,44.264424
35.304446,89,44.595717
84.508084,100,44.942581
102.104769,100,45.314222
91.632358,100,45.663957
103.733408,100,45.98824
94.036883,100,46.394928
74.119359,100,46.766498
75.772741,100,47.166267
83.829049,100,47.533732
76.945857,100,48.046822
85.969998,100,48.52418
89.320904,100,49.127702
90.57149,100,49.602872
94.359343,100,50.402976
96.407432,100,51.128504
75.671445,86,51.690824
87.288067,100,52.355309
90.684294,100,52.957834
84.682834,100,53.550373
58.150479,51,54.731398
80.685462,100,55.229004
57.999043,100,55.960691
94.166664,100,56.498552
94.591494,100,56.980635
90.092591,100,57.378171
75.477559,78,58.25077
83.787139,100,58.682527
61.677428,90,59.029161
81.340577,100,59.415958
86.126106,100,59.761581
84.770393,100,60.138513
94.604302,100,60.549251
85.209558,100,60.928041
83.07236,100,61.954056
60.101088,100,63.133625
58.947226,100,63.784163
76.976883,100,64.296627
82.6456,100,64.699114
112.332847,100,66.642483
109.71524,100,67.062587
84.830347,100,67.386338
78.707116,100,68.038853
63.306145,53,68.31901
50.704934,100,68.952542
90.266125,100,69.306731
77.339838,100,69.660653
71.960958,75,69.941118
58.939919,100,70.40169
96.096336,100,70.6889
65.270541,79,70.985173
81.466095,100,71.34121
92.037715,100,71.693902
98.726566,100,72.073682
91.096063,100,72.369129
97.20306,100,72.64199
88.367068,100,73.647345
87.127583,100,74.583681
106.191884,100,74.880494
96.725757,100,75.158621
98.473968,100,76.10173
100.6491,100,76.610154
97.250361,100,77.040881
88.881862,100,77.364417
100.892924,100,77.673395
89.651032,100,77.997675
54.180123,70,78.189121
75.311628,100,78.476162
80.778875,100,78.767614
96.024991,100,79.172607
95.505804,100,79.474076
103.762024,100,79.833513
89.652363,100,80.141243
65.081738,97,80.443136
110.430627,100,80.71885
106.935282,100,81.184782
72.181255,100,81.647103
87.141264,100,81.959559
