#{"t_start": 1764264643.8687649, "env_id": "None"}
r,l,t
-25.295628,38,0.221406
21.607344,100,0.635794
77.470681,100,1.098593
62.63689,73,1.424978
51.589994,71,1.722043
51.439343,100,2.150367
26.510305,100,2.670912
62.465636,100,3.043566
43.281457,84,3.38686
54.714517,100,3.74245
52.215795,70,3.960073
88.302462,100,4.323243
72.464536,100,4.721776
47.343188,100,5.115855
65.176832,100,5.532819
58.38006,69,5.825219
77.041249,100,6.23491
86.70244,100,6.659337
42.107119,100,7.332226
80.360406,100,7.70735
46.407821,81,8.059053
39.429507,100,8.404612
45.546175,36,8.555056
17.694185,95,8.942398
86.321833,100,9.372568
56.226473,63,9.707988
26.011281,76,9.992867
51.74848,84,10.614635
59.704605,48,10.824698
54.732523,100,11.241948
74.52372,100,11.619149
80.481691,100,12.036771
100.766408,100,12.40813
53.619782,80,12.757188
39.740769,76,13.060904
56.100714,100,13.409915
71.997532,100,13.758771
49.505684,100,14.208476
61.534419,100,14.545864
79.562158,100,14.994495
36.57679,77,15.284143
72.523609,100,15.634505
80.631288,100,15.977055
41.1775,81,16.441279
103.05233,100,17.152044
94.198501,100,17.522989
43.382828,100,17.889551
92.400012,100,18.287184
62.028988,100,18.721788
83.697799,100,19.099402
92.426781,100,19.563832
85.927082,100,19.989428
56.616935,68,20.339288
99.933316,100,21.374569
99.685491,100,21.811257
40.550914,65,23.787274
54.754437,61,24.072934
78.94275,92,24.42241
85.722036,100,24.810694
96.597876,100,25.189289
69.4463,100,25.655655
68.144546,100,26.090809
72.010709,100,26.537957
66.723491,100,26.922307
96.466116,100,27.30456
93.462159,100,27.900388
85.976311,100,28.320821
66.287928,100,28.787853
63.310962,68,29.087489
89.519352,100,29.578494
73.769646,100,29.988414
93.495531,100,31.065075
76.937722,100,31.404299
104.459167,100,31.77302
95.682087,100,32.120228
87.061628,100,32.637947
66.240273,79,33.061833
104.031332,100,33.539434
91.626777,100,34.020667
85.153206,100,34.491141
85.179536,100,34.961797
90.672374,100,35.48538
93.797188,100,35.969504
90.50401,100,36.404895
96.950419,100,36.878398
63.332093,100,37.340012
79.052531,85,37.820389
49.041619,74,38.165621
94.976017,100,38.636002
107.097543,100,39.052323
95.295397,100,39.587014
72.876709,76,40.125523
77.290292,75,40.435978
102.034943,100,41.2036
96.242227,100,41.603102
96.930304,100,42.042769
68.185942,100,42.51838
102.877832,100,42.902787
84.546452,100,43.268109
87.379414,100,43.796932
91.073715,100,44.503884
113.659902,100,45.081456
87.677877,100,45.46768
82.639557,100,45.904744
85.153029,100,46.284242
98.599677,100,46.699452
107.219628,100,47.307563
82.847803,83,49.317516
97.148654,100,50.183604
110.544759,100,51.090859
92.028808,100,52.667399
99.619414,100,54.654461
100.056075,100,56.48361
106.584469,100,57.20943
61.490859,61,57.532764
101.649785,100,58.08
94.134942,100,58.572688
105.27238,100,59.170986
109.963977,100,60.301952
96.698632,100,60.830532
98.378658,100,61.349443
110.061643,100,61.76528
113.588837,100,62.330188
105.339251,100,62.837781
106.209989,100,63.311901
109.281926,100,64.131907
88.47081,74,64.522616
69.80324,57,64.887741
107.608987,100,67.640324
128.073997,100,70.304225
97.972769,84,72.976111
85.413941,68,92.934966
79.262964,100,97.983772
87.437662,82,99.941727
113.672408,100,100.475017
117.01721,100,100.934617
97.900243,98,101.374971
114.948613,100,101.867111
91.803795,100,102.356937
103.885002,100,103.236318
81.693391,100,103.790277
109.325144,100,104.463924
73.458757,100,104.962469
80.367819,100,105.480174
110.517713,100,106.004229
107.191469,100,106.673535
111.98124,100,107.162525
103.810976,100,107.677294
119.393966,100,108.168921
112.777373,100,108.750283
109.703818,100,109.359107
104.324949,100,109.848122
109.610314,100,110.355443
99.113267,100,111.089051
102.728447,100,111.70061
111.995125,100,112.196908
107.817987,100,112.682596
111.331439,100,113.155531
102.364228,98,113.805094
112.274912,100,116.525707
102.694097,100,117.018141
37.78909,100,117.507333
97.756296,93,117.981244
80.88469,79,118.51293
