#{"t_start": 1764257570.7464185, "env_id": "None"}
r,l,t
-32.661558,50,1.003587
-9.130821,38,1.026282
-23.31425,31,1.040993
-18.474159,28,1.057641
-2.022286,41,1.082729
5.871913,36,1.110138
-2.798808,44,1.125637
-37.361787,53,1.165135
-1.601459,45,1.191751
-2.133015,39,1.214995
17.117389,47,1.241797
1.724455,35,1.241797
-12.599273,69,1.291901
-18.930618,44,1.317711
-31.679629,97,1.373023
5.109314,45,1.385269
1.827277,33,1.421681
6.713127,32,1.42513
-14.029356,38,1.453123
-33.327038,69,1.490418
-58.853719,100,1.774941
18.347263,39,1.846564
7.362506,100,2.108605
5.019335,63,2.257242
-26.468605,100,2.530828
-2.983998,100,2.79791
-5.994768,100,3.073771
-45.052188,100,3.357007
-48.208927,100,3.814011
-50.369937,100,4.123945
-55.51934,100,4.556714
-71.75074,86,4.797583
-187.048129,100,5.13603
5.140833,34,5.222888
15.199766,72,5.424522
20.06934,38,5.539222
0.164815,47,5.689537
20.012624,62,5.863674
5.431819,36,5.945867
3.253269,31,6.030701
20.170696,68,6.207453
3.657364,54,6.324121
7.453625,32,6.395764
14.336185,36,6.496768
10.077184,44,6.622127
29.158065,67,6.774172
25.641897,33,6.845768
45.896158,57,6.999021
23.991422,54,7.146949
34.512362,89,7.414127
26.378794,47,7.513226
3.075224,40,7.621259
25.912874,62,7.806358
0.24079,51,7.922142
2.830452,85,8.12151
34.703296,70,8.290225
45.957551,100,8.588905
25.270428,60,8.746361
25.891638,100,9.014948
14.615078,100,9.274069
75.199522,100,9.602142
12.253228,56,9.746705
41.383905,73,9.903499
33.863863,93,10.10322
84.885651,100,10.390123
20.854059,91,10.609534
30.826811,100,10.857149
-2.083134,66,11.005659
28.023403,100,11.279069
46.692496,100,11.523205
61.195885,100,11.822321
59.492446,100,12.106795
5.686364,62,12.419166
61.840691,100,12.737918
36.987968,63,12.923329
