#{"t_start": 1764257641.861301, "env_id": "None"}
r,l,t
-14.667702,44,0.065441
-13.503783,44,0.112163
-1.26189,46,0.128476
-53.335867,63,0.180043
-28.737098,48,0.220202
-35.880382,62,0.247199
-25.333234,50,0.287273
4.202371,38,0.296762
-35.30338,97,0.39776
-75.957132,100,0.461243
14.093922,34,0.483016
-28.126804,60,0.534869
-15.95779,64,0.588057
-6.592808,39,0.605103
-10.73944,40,0.628755
-3.326565,77,0.678694
-34.263295,46,0.713267
-40.833052,100,0.861974
2.31764,21,0.911768
-6.165613,100,1.128564
5.130304,100,1.362003
-12.234653,100,1.59523
-22.308926,100,1.813359
-42.940201,100,2.045066
24.175937,100,2.311489
8.415846,74,2.503827
26.041814,92,2.757802
16.782314,74,2.9529
26.777333,51,3.094957
-20.573642,49,3.20242
15.941072,64,3.352691
24.985376,56,3.479604
37.696633,44,3.596283
-9.990614,49,3.728863
38.86725,100,3.986094
-13.302843,60,4.165732
33.864761,100,4.561552
33.465551,100,4.835315
-2.030121,61,5.174402
-11.993512,63,5.36107
14.407257,89,5.610721
-17.923823,100,5.851742
-3.559252,60,6.019596
8.184953,62,6.177636
6.227034,63,6.369635
-2.220002,51,6.495857
50.191246,100,6.70166
25.252745,96,6.945694
27.469336,100,7.202214
44.795868,100,7.442472
32.695539,100,7.717221
60.311521,83,7.918087
36.840192,100,8.159348
55.157136,66,8.344033
77.555338,100,8.601297
34.182052,100,8.850181
65.71892,100,9.102413
0.300462,100,9.352409
-21.745832,100,9.609689
18.509536,100,9.900715
-20.682979,100,10.168316
-28.106512,100,10.401691
-7.960765,100,10.618776
-22.869205,100,10.828426
-30.037635,100,11.076763
