#{"t_start": 1764257688.4670625, "env_id": "None"}
r,l,t
-21.581529,81,0.072021
-3.97272,46,0.138835
3.497729,52,0.212852
-9.578097,53,0.254805
-39.76072,48,0.299156
-5.607054,58,0.330656
-4.476655,43,0.338655
-31.564178,100,0.397294
5.817342,47,0.430619
3.904894,32,0.463992
-5.929667,24,0.471995
-27.915125,72,0.498214
-3.610793,33,0.524708
-26.642823,64,0.56416
-9.479136,34,0.589337
-54.371904,97,0.63058
8.036098,49,0.682178
-18.375102,34,0.713868
-56.783344,100,0.772018
-22.575316,30,0.794082
-12.029734,58,0.857687
4.600788,33,0.876904
-13.978507,67,0.906012
-24.356638,57,0.955454
-24.554748,53,0.991382
-17.118785,31,0.998617
-26.757924,71,1.04816
10.325665,28,1.04816
-40.183419,77,1.113946
-33.948902,55,1.150144
-39.89325,63,1.18048
-6.002083,56,1.20682
-25.358243,100,1.275361
-18.358368,43,1.282366
-54.417142,57,1.322087
-17.189881,53,1.338133
-8.268348,38,1.454683
-4.988653,19,1.49877
-3.592578,35,1.603547
26.617376,55,1.755153
-8.518965,100,2.051577
-12.970074,100,2.298677
-56.153665,100,2.586821
-29.76652,100,2.921163
-58.233182,100,3.26368
-46.218333,100,3.535704
-38.001594,100,3.813532
-48.838034,100,4.04684
11.942668,100,4.31876
18.208727,37,4.404238
0.877253,49,4.53746
2.95353,40,4.637544
-9.647299,38,4.746692
2.468846,32,4.837739
5.401344,43,4.931382
4.428279,48,5.063167
1.364026,31,5.163707
9.699469,29,5.277176
1.98383,22,5.345913
12.093484,47,5.46854
2.783145,32,5.579342
9.47673,28,5.662535
-0.724051,41,5.75442
-9.368447,42,5.879942
25.350777,48,6.004398
40.597914,69,6.152834
33.946626,55,6.313004
34.219519,74,6.48605
50.455212,100,6.787644
-3.169506,61,6.968347
58.461253,100,7.270262
-17.485007,59,7.402527
22.817362,95,7.752522
61.488363,100,8.01434
17.576881,47,8.145971
46.678829,100,8.39604
17.640951,45,8.537476
-7.840985,51,8.679081
5.75329,65,8.837189
54.039153,100,9.103336
-27.518986,47,9.271524
-5.392989,63,9.436527
53.510637,100,9.720289
