#{"t_start": 1764261480.8635197, "env_id": "None"}
r,l,t
-53.037459,44,0.199381
-6.410176,54,0.373596
-4.02767,44,0.544551
-0.807083,40,0.681561
-13.351785,48,0.835651
7.207077,55,1.007508
16.550014,35,1.115667
-34.052704,65,1.510725
24.683173,28,1.611054
-34.424767,40,1.73351
-20.748357,68,1.897132
-8.931551,51,2.043366
-20.611837,60,2.203295
-89.280982,100,2.486994
-2.938471,52,2.632606
-1.826338,35,2.720371
-22.490881,42,2.833069
-37.906809,62,2.982318
-46.350263,47,3.108514
-22.571709,25,3.174575
-36.044113,52,3.320189
-9.924692,39,3.433922
-37.539904,56,3.590504
-20.376979,100,4.059605
-46.954389,100,4.375605
-26.678347,65,4.530866
-9.152493,33,4.630919
-13.605254,100,4.937819
-1.538412,28,5.059862
-11.338572,53,5.25988
-29.892443,78,5.48956
-55.429596,89,5.725243
-8.55075,45,5.828643
-18.239403,45,5.915274
-21.900851,52,6.048348
-13.177013,57,6.177796
-27.154449,59,6.367734
-28.523132,48,6.502374
10.840019,38,6.614184
24.466558,45,6.732747
0.29361,38,6.82703
-50.95507,93,7.064965
-24.534962,53,7.198209
-28.406807,100,7.431477
-30.985849,100,7.662651
-24.526407,40,7.764723
-55.195806,100,8.06618
-33.101434,69,8.231349
-12.492245,42,8.328255
-9.110371,45,8.561651
-0.749526,41,8.708722
0.987805,100,8.947929
-6.650157,63,9.100447
8.650528,82,9.260446
-26.817441,54,9.384581
-32.581554,26,9.46108
-28.670532,48,9.568452
-40.360544,66,9.711318
-27.36915,100,9.985414
-31.883554,65,10.130144
-13.259593,77,10.306299
-11.183887,62,10.464564
-32.821521,52,10.683418
2.492632,54,10.832664
-3.506489,40,10.948703
-30.673088,51,11.063306
17.802935,24,11.114064
-31.200302,73,11.25997
-12.801481,39,11.351759
-10.565276,40,11.490946
18.492514,37,11.56961
-28.686402,44,11.664452
13.386593,64,18.971769
13.465273,27,19.059645
-2.63572,100,19.335288
18.389317,82,19.555508
21.019692,54,19.733257
2.968519,69,20.076027
6.056456,100,20.455653
17.650653,67,20.663691
3.364794,84,20.930592
15.168441,100,21.194881
-11.694109,41,21.311621
23.597871,100,21.614193
19.951257,53,22.812584
-13.954118,100,23.045015
9.727421,28,23.095153
-9.933379,100,23.328455
50.604945,79,23.500595
26.815707,53,23.592986
16.019144,46,23.695164
38.602999,100,23.978263
-10.389948,100,24.262946
-2.669813,35,24.386097
19.834834,57,24.544901
11.409338,76,24.715008
0.862542,58,24.868761
8.526831,57,24.976233
22.330645,65,25.116537
0.195379,44,25.193726
24.061875,62,25.327015
7.948902,35,25.409373
9.28104,50,25.509276
9.931393,69,25.64471
19.406647,75,25.777936
17.721029,44,25.864935
-15.413192,41,25.943899
-6.224459,51,26.061226
25.698772,59,26.17732
-11.275176,92,26.39957
1.501944,44,26.477854
20.588906,51,26.576912
23.896579,42,26.67475
12.590839,71,26.797958
24.299174,31,26.859061
21.408476,64,27.016084
73.987477,100,27.227839
26.933063,100,27.409958
5.28614,49,27.512654
10.697113,38,27.57749
25.261699,100,27.776528
16.391954,100,27.989178
20.936305,77,28.18998
21.881405,40,28.292572
15.541471,60,28.409902
9.513848,100,28.643025
19.857946,30,28.694109
-25.594842,100,28.993147
12.715498,100,29.404464
0.83729,21,29.464664
-10.22089,56,29.591738
6.782639,37,29.763492
28.410565,66,29.969593
