#{"t_start": 1764257790.1929944, "env_id": "None"}
r,l,t
-40.673682,55,1.459478
-8.254489,83,1.624786
-46.999956,64,1.753321
-41.441133,100,1.934796
-28.887973,59,2.109875
-17.251405,56,2.290548
-8.254254,73,2.476407
-1.566033,51,2.584551
-9.052131,45,2.685149
-32.82973,70,2.825842
-1.36797,45,3.101345
-69.598787,99,3.323772
-5.083457,100,3.52568
-45.134157,80,3.712741
-73.536358,100,3.919918
-16.589561,100,4.137383
-23.642287,52,4.224554
-51.353246,63,4.355799
-16.706117,64,4.478959
-22.180798,78,4.634818
-16.953452,41,4.717802
-13.230366,34,4.775502
-24.475085,33,4.836164
8.887161,41,4.923367
-0.416355,45,5.017413
-37.547616,68,5.141051
1.197669,55,5.24103
-1.435393,63,5.414531
-35.763158,59,5.518533
-65.917064,100,5.70664
-56.734692,100,9.107419
-20.688241,86,9.267211
-4.983179,63,9.391995
-19.243956,100,9.600286
2.88981,100,9.818661
-28.897296,100,10.005801
-30.118659,100,10.18375
-22.208696,100,10.390987
-4.160923,61,10.534367
-15.061273,50,10.617524
-13.134582,70,10.750316
-4.095246,41,10.834363
-11.666051,48,10.907652
2.985555,45,10.999587
-41.319221,100,11.184865
-8.37981,86,11.341562
15.312846,70,11.474227
21.846426,62,11.589811
-20.178472,82,11.751407
14.550516,51,11.823163
0.450676,29,11.891477
-0.646316,56,12.000113
17.548331,100,12.156355
6.178729,46,12.241426
-10.064709,73,12.374101
-21.431066,100,12.583369
15.480293,48,12.704661
12.916894,53,12.81661
14.768418,52,12.916479
3.069576,20,12.941643
3.93138,86,16.29063
-26.366866,100,16.466573
15.351619,100,16.638937
-31.617084,100,16.840472
2.441426,50,16.949151
18.771773,65,17.057744
48.938491,100,17.248653
19.113399,27,17.282686
2.000835,66,17.453604
-1.110309,91,17.648326
-0.059248,55,17.748913
18.272749,100,18.633621
-14.094939,55,18.706158
14.38219,100,18.906204
29.883011,58,19.022966
8.092014,47,19.123451
34.698915,60,19.224124
23.329024,93,19.373408
-5.129717,71,19.48935
32.531312,96,19.710351
21.346938,43,19.848011
29.429824,55,20.039918
40.057753,100,20.272573
3.327746,100,20.489826
29.920433,71,20.773137
5.728849,34,20.837134
5.768663,78,21.006313
16.80435,45,21.106305
9.429602,100,24.221458
35.898733,62,24.355124
27.153565,63,24.470744
27.001055,100,24.655679
41.78974,100,24.863988
27.918278,63,24.971176
8.148864,94,25.147516
29.509851,71,25.81566
41.628474,100,26.038207
17.550748,100,26.263628
34.986275,80,26.594475
45.818142,100,26.821922
24.403071,82,26.986843
34.088479,55,27.102506
14.628985,47,27.187856
24.885134,100,27.397128
40.424251,100,27.598306
20.885667,40,27.671809
35.429494,67,27.813761
7.617538,89,27.987782
29.329354,57,28.103399
29.736581,61,28.254468
31.356689,59,28.373689
10.180641,44,28.437693
52.527622,68,28.553309
13.389076,58,28.654345
45.943357,100,28.895608
29.337361,64,32.214266
46.201362,69,32.362973
13.679029,49,32.470923
26.714848,68,32.603527
70.4092,100,32.804047
20.065163,72,32.945467
18.32694,100,33.146684
19.620247,44,33.246633
18.890436,35,33.335777
17.733405,41,33.403401
32.656328,46,33.520079
21.305671,48,33.629189
33.531096,42,33.721201
34.693202,60,33.853365
32.074207,100,34.10271
51.641985,85,34.287091
55.386479,66,34.436604
49.724967,92,34.662761
70.528181,100,34.917714
75.965922,100,35.203611
40.721774,60,35.351985
48.850136,46,35.468634
63.543548,100,35.746081
44.636817,100,36.012173
69.964487,100,36.285681
11.732369,45,37.213806
16.533401,66,37.369867
36.649216,61,37.502635
54.445413,84,37.694922
36.655201,100,41.643694
81.317729,100,41.868415
29.166043,58,41.995792
28.105515,49,42.111048
75.945394,100,42.344039
38.209108,77,42.517269
64.225647,88,42.727561
71.183778,100,42.952187
48.331982,89,43.191635
71.04008,100,43.418194
63.434101,100,43.651422
43.771627,46,43.752082
81.082632,100,43.985336
26.292318,49,44.09396
42.740996,100,44.335194
84.04451,100,44.568552
40.327678,51,44.685244
41.746056,74,44.85122
86.842902,100,45.082338
72.957082,100,45.320323
60.261797,85,45.535136
31.920196,74,45.693774
69.665606,100,45.910313
86.54613,100,46.13484
63.208907,71,50.100195
45.428963,43,50.216852
100.821407,100,50.576508
57.243663,92,50.877657
81.519027,100,51.110163
55.992688,66,51.250571
33.440556,48,51.47732
102.921778,100,51.73387
87.574596,96,51.966533
82.340715,100,52.16746
55.281955,79,52.315663
78.033538,100,52.516439
70.210069,100,52.781361
61.878877,75,52.950229
65.735753,77,53.142202
89.077096,100,53.400278
50.258239,77,53.547484
68.788532,72,53.733477
29.760575,69,53.910193
37.049728,52,54.016193
72.280456,75,54.143749
68.325827,100,54.324039
70.119566,75,54.476784
75.371633,100,54.649334
84.266658,100,54.858507
82.819368,93,58.149262
89.54549,100,58.365986
71.070181,96,58.590996
107.703226,100,58.807862
105.556543,100,58.980851
99.106412,100,59.198647
93.916861,100,60.95947
115.711515,100,61.163752
104.378328,100,61.364822
49.75585,60,61.481418
47.267533,64,61.598095
92.155832,100,61.850731
