#{"t_start": 1764258517.8101027, "env_id": "None"}
r,l,t
2.870394,47,0.153521
-32.871533,46,0.253467
-30.625674,72,0.405553
2.786729,40,0.486796
2.955112,40,0.587845
-3.249636,45,0.715827
-37.133254,62,0.880558
-54.576968,83,1.037717
-35.60531,100,1.271162
-17.648776,40,1.355707
-10.946145,66,1.471572
-37.871295,61,1.604275
-18.53025,34,1.696838
-27.470926,42,1.7816
-61.090172,75,1.962841
-6.429978,54,2.086469
-44.484808,59,2.237799
-8.5238,27,2.288126
-29.39116,34,2.364747
-7.8377,25,2.413793
-67.941741,84,2.596688
-59.19087,54,2.71342
-57.089995,100,2.965895
-21.525828,100,3.179958
-26.700364,63,3.304586
-15.076937,51,3.396437
-41.265365,79,3.569614
-22.707388,61,3.720598
-10.955968,30,3.779156
-22.693518,64,3.903849
11.532585,48,4.013431
-20.56452,67,4.171642
-17.157778,38,4.252702
-16.263844,67,4.369434
-10.482152,33,4.44631
-23.771765,54,4.554235
-18.69486,63,9.657894
-38.383868,72,9.837043
-34.278738,100,10.045272
-5.262704,44,10.145184
-6.378579,100,10.333905
-29.569906,60,10.469384
8.682938,53,10.596492
5.272859,53,10.713184
-58.623398,100,10.946485
-12.336899,100,11.187137
5.183617,73,11.327749
-8.434872,100,11.528619
12.372524,92,11.685828
4.122901,69,11.861279
2.360079,56,12.007561
13.121779,49,12.120564
-13.120633,66,12.252295
-10.888867,83,12.444533
-35.45117,63,12.546173
-0.959651,49,12.646285
6.614577,50,12.752276
-22.022577,90,12.927498
13.484604,31,12.996121
-16.106645,83,13.167783
-6.461877,23,13.21272
20.931505,100,13.400957
-24.062349,60,13.533226
-4.844388,85,13.702504
-3.951018,90,19.193632
12.842455,56,19.293449
-11.287419,87,19.482101
21.925469,100,19.684151
18.881157,65,19.850805
12.395929,68,20.010023
-0.032762,100,20.242717
5.392465,34,20.326432
4.898804,100,20.544969
2.098368,47,20.650162
19.971408,100,20.876071
-4.281836,71,21.059301
34.261551,83,22.039477
1.051022,41,22.12778
-4.413375,100,22.331576
29.490397,50,22.448271
-6.828093,53,22.576799
8.342573,59,22.68255
8.911278,74,22.842777
20.165659,87,23.000232
4.500436,81,23.334157
-3.70874,33,23.450747
15.070435,100,23.700067
-15.169635,82,23.909286
-22.663777,60,24.177348
15.242416,47,24.292495
13.271739,97,24.511183
-17.04397,40,24.598828
-41.284161,100,24.834054
-2.719751,100,29.831266
15.492722,100,30.081212
35.753094,45,30.181132
40.336575,85,30.382743
20.873683,47,30.490625
50.870639,100,30.707762
61.201313,98,30.924373
64.330138,100,31.12381
49.83712,100,31.314383
32.526658,61,31.446541
34.462043,100,31.681891
44.537915,53,31.809177
44.043037,51,31.925805
38.687835,99,32.182129
61.300806,100,32.4238
48.833966,100,32.632368
74.938696,100,32.825729
55.040293,100,33.029685
23.862181,44,33.114944
18.345465,44,33.207551
40.033261,100,33.407184
16.738082,90,33.565476
56.016914,100,33.790797
26.815424,95,34.015574
5.260718,46,34.124189
25.357115,35,39.229751
31.827906,81,39.391229
19.922335,69,39.538927
64.443681,100,39.741174
50.499528,67,39.873652
24.28576,100,40.064055
42.506275,100,40.247622
41.090574,63,40.372191
16.252728,45,40.472844
68.506441,100,40.655364
48.212285,61,40.790086
61.990067,100,40.978059
68.335177,100,41.242137
56.680403,100,41.473963
55.652885,72,41.613873
24.140404,69,41.747334
22.696243,100,41.955987
44.262496,100,42.157507
44.085668,100,42.345504
45.40076,100,42.563114
9.94589,39,42.655783
12.606744,29,42.72246
18.430026,62,42.872304
54.956757,100,44.690046
44.884785,70,44.854697
57.823037,87,45.02939
49.820522,74,50.136236
60.395347,88,50.32951
88.156885,100,50.511691
73.149106,80,50.679095
60.656476,89,50.929554
67.246765,100,51.171262
71.983721,90,51.395436
85.19544,100,51.660482
48.212075,100,51.870059
65.430972,100,52.127075
65.058805,100,52.450151
106.822924,100,52.803538
55.625188,100,53.043477
90.384474,100,53.293356
48.468044,100,53.72025
51.666958,78,53.987613
48.565856,100,54.210899
82.601659,100,54.444194
96.287785,100,54.754217
82.916147,100,54.954773
22.330794,64,55.110794
71.449356,100,55.336051
106.002176,100,60.53569
80.590095,100,60.737117
41.213086,96,60.925341
86.658727,100,61.119035
68.880003,100,61.352346
82.852993,100,61.552094
32.904096,89,61.725187
68.102892,100,61.953445
86.649408,100,62.191742
86.56585,100,62.439741
86.014337,100,62.657335
83.039948,100,62.909213
49.534819,62,63.052497
93.334863,100,63.224866
66.00192,61,63.371518
35.30392,40,63.458148
81.966925,100,63.675841
70.716393,96,63.876307
53.086424,88,64.041373
76.884079,75,64.231969
69.790511,100,64.467267
105.776239,100,64.6596
97.560934,100,69.766593
96.802131,100,69.951961
66.698855,96,70.155902
94.562691,100,70.366529
105.476124,100,70.558193
99.731931,100,70.78458
59.505956,100,70.975447
85.083268,85,72.80654
79.398659,84,72.983933
70.237567,67,73.100008
117.681514,100,73.271898
92.448313,100,73.497561
67.872698,57,73.645413
97.732371,100,74.015795
81.167137,100,74.272836
86.415266,100,74.533817
90.813547,100,74.900934
98.869619,100,75.119318
100.761777,100,75.349236
69.133804,100,75.576759
56.766017,100,75.806628
87.864441,100,76.074178
83.997215,100,81.24034
88.309705,100,81.481902
104.525103,100,81.722486
93.319588,100,81.963927
92.870728,100,82.164268
118.767566,100,82.364851
113.56494,100,82.583
97.361416,100,82.847904
110.458337,100,83.065459
87.683031,100,83.289283
103.097826,100,83.454336
91.18581,100,83.664017
88.57615,100,83.872532
105.844694,100,84.082098
88.528357,84,84.255259
105.572471,100,84.464554
105.887015,100,84.680836
101.511115,100,84.922931
101.336748,100,85.155684
109.291891,100,85.372483
87.28743,100,90.671448
95.100392,100,90.864587
92.85214,100,91.053958
122.685422,100,91.262527
89.065177,100,91.479972
97.692807,100,91.681425
105.760799,100,91.885181
104.270513,100,92.095609
76.64412,82,92.319419
95.410748,85,92.497711
70.697944,80,92.637615
104.015006,100,92.846185
98.197951,100,93.034797
94.045142,98,93.236928
106.614981,100,93.454236
97.658677,100,93.6476
109.034781,100,95.447675
78.956005,63,95.59564
117.543913,100,95.795391
113.15004,100,96.011138
108.493655,100,96.202088
95.478945,100,96.4198
112.454907,100,101.627612
114.548139,100,101.890536
90.151267,100,102.110409
114.266511,100,102.311049
105.679014,100,102.499731
95.290909,100,102.701804
106.435699,100,102.918356
101.840681,100,103.159626
79.252202,80,103.344282
100.123187,100,103.58556
89.286554,100,103.810825
93.083256,100,104.040056
88.683142,100,104.268804
104.502155,100,104.462418
79.512289,100,104.684871
104.674332,100,104.882602
110.808171,100,105.0767
109.370316,100,105.261873
98.648181,100,105.484533
110.416037,100,105.683451
110.705519,100,110.885009
106.159715,100,111.100896
58.331889,88,111.283733
