#{"t_start": 1764259384.746534, "env_id": "None"}
r,l,t
-8.547485,52,0.174606
-1.326665,43,0.268158
-34.02498,37,0.336932
-32.842293,53,0.461985
-13.457424,66,0.75858
-46.078702,42,0.859072
-17.582396,92,1.046045
-24.246256,47,1.145343
-8.37224,29,1.203304
10.132831,58,1.32901
-11.272941,44,1.402263
-24.209921,55,1.529042
-5.613787,40,1.604014
6.292414,36,1.68728
-47.571297,99,1.897368
-22.164696,100,2.062228
-3.495619,53,2.162426
-46.20116,97,2.33664
-40.066426,55,2.43445
7.371365,34,2.503784
-21.392775,48,2.580384
-10.977858,52,2.652078
-1.632564,40,2.737102
-33.171031,51,2.836971
-8.693416,57,2.972339
-8.830061,22,3.024755
-11.677442,56,3.157641
5.075043,63,3.280269
-21.752977,72,3.412223
-16.563573,78,3.545748
1.656163,39,3.626074
-17.710785,59,3.718545
-26.07579,60,3.818532
15.490701,46,3.911525
-52.627946,77,4.052035
-59.859629,78,4.213438
-36.815649,100,7.686749
-4.84355,42,7.752205
1.252113,100,7.929486
0.818924,24,7.969408
-58.555593,100,8.161241
-1.917176,52,8.263001
-9.704251,100,8.427693
14.87832,35,8.494475
-26.549199,100,8.652009
1.398542,41,8.744613
-9.187989,45,8.82935
-25.882631,71,8.945833
12.139326,97,9.118551
-21.872419,100,9.327786
-52.259386,100,9.52947
2.784191,45,9.619582
1.242559,49,9.748084
8.699203,46,9.840136
-16.866728,100,10.050696
8.436799,48,10.151788
-5.089234,59,10.26845
-25.166073,61,10.435187
-18.789275,88,10.610929
-67.359832,99,10.778913
-14.531009,78,10.927499
10.905157,68,11.052746
20.706621,57,11.168939
0.443599,76,11.300411
-14.80578,40,11.369661
-12.749127,37,11.417137
14.822476,42,14.676745
12.873958,45,14.759937
19.170968,100,14.968104
20.15981,73,15.116453
9.549521,27,15.184426
2.774954,49,15.278041
-4.317317,97,15.442665
-34.555996,100,15.652075
8.725353,58,15.75967
16.09509,100,15.949667
25.666866,42,16.033945
1.454628,91,16.211104
13.957082,100,17.228232
22.354143,51,17.334542
-0.797535,62,17.46081
19.985454,38,17.532545
46.458994,58,17.648172
-24.038846,87,17.826224
11.363139,27,17.865896
9.231407,52,17.974826
22.848889,45,18.082501
13.643893,69,18.199169
2.435067,100,18.447998
0.755063,40,18.594105
4.688703,40,18.72847
-6.793513,100,18.975342
-2.689381,29,19.044527
5.398112,100,19.37684
27.239553,100,19.585587
-0.928991,96,19.783263
12.86945,45,22.613941
10.950555,44,22.692268
32.329256,88,22.859984
48.028347,72,22.99162
19.56863,80,23.116478
13.414044,43,23.199369
29.881726,100,23.381532
57.333712,100,23.624661
13.911639,60,23.74769
30.159681,49,23.893053
12.369117,66,24.082413
-2.772222,93,24.30763
20.59952,65,24.450077
28.804405,100,24.775684
74.890861,100,24.99296
32.756014,100,25.182218
59.037293,100,25.398758
36.543695,67,25.531064
15.060104,39,25.608027
26.36065,61,25.732646
8.761715,100,25.982545
63.890091,100,26.182647
17.17676,100,26.346584
32.743189,100,26.540573
33.972856,36,26.607793
10.547701,70,26.733159
10.623865,100,26.897471
32.418287,75,30.157078
43.049883,82,30.38213
25.682728,100,30.597882
40.416138,95,30.78975
30.662314,76,30.930136
25.994752,100,31.131662
49.809834,92,31.324482
21.597201,86,31.480995
62.983655,100,31.658342
41.304575,100,31.830949
42.956505,70,31.991507
22.856077,77,32.124218
67.065824,100,32.304418
46.455293,100,32.497451
57.917331,100,32.722722
56.653791,92,32.908047
18.669227,45,32.979704
19.602302,57,33.096319
44.761793,68,33.228733
64.350319,100,33.439309
48.897074,100,33.60797
28.302039,43,35.188624
19.712789,43,35.272226
40.985612,72,35.397063
62.642662,59,35.522215
40.536713,77,38.805528
73.680469,100,39.022158
59.932927,76,39.186446
41.613009,94,39.379567
47.909472,80,39.557021
49.06275,64,39.70635
60.259853,100,39.922523
45.182697,65,40.046705
81.235841,100,40.240293
52.788997,100,40.411602
71.458809,100,40.621255
67.342877,100,40.798656
68.855558,90,40.946479
72.69525,100,41.094809
32.44053,100,41.289041
100.354625,100,41.489883
49.202168,69,41.629607
88.841981,100,41.823659
52.038889,100,42.072469
24.604375,53,42.163027
22.302634,40,42.228954
62.662231,100,42.421562
72.501437,100,42.612376
9.640006,36,42.67884
76.142305,100,46.138097
31.712679,69,46.270101
17.577854,39,46.328506
47.718222,66,46.444951
62.096485,99,46.628167
48.150113,62,46.760448
52.792192,100,46.987734
62.131141,64,47.103693
41.006528,77,47.270598
91.522232,100,47.4592
90.947029,100,47.637222
75.952872,100,47.829895
43.06061,73,47.978209
69.512207,100,48.170595
51.383074,97,48.361137
62.821142,68,48.493453
