#{"t_start": 1764258185.0826256, "env_id": "None"}
r,l,t
-13.032689,67,0.187497
-31.499283,74,0.320451
-45.551565,100,0.495853
-24.974958,67,0.614099
-44.724591,79,0.778692
-31.325355,54,0.856087
-25.196297,54,0.961775
-16.89687,38,1.043942
-7.855067,34,1.160659
5.222916,43,1.330419
-31.874922,38,1.409477
-9.036673,44,1.494882
-6.717422,64,1.64277
-49.648616,61,1.777001
0.285906,25,1.852509
9.810876,100,2.228836
-15.181785,59,2.35379
-46.508809,70,2.494646
-23.808981,43,2.587255
10.512006,20,2.626917
-11.633715,39,2.703881
-16.68824,33,2.778001
-41.173802,72,2.928367
8.378809,100,3.138757
-11.86692,58,3.286546
1.065769,51,3.41117
-4.868807,51,3.527854
-17.095144,100,3.761129
1.121893,24,3.821801
-60.10287,100,4.026681
-20.36061,78,4.211698
-28.166414,69,4.381974
-26.702239,48,4.468955
-58.957422,74,4.653597
21.374369,36,6.337912
18.281127,52,6.425214
-37.881525,100,6.844235
7.581008,71,6.992848
-27.275275,83,7.493742
29.349808,63,7.852916
-35.961964,94,8.094176
1.640078,33,8.180929
-8.197658,54,8.287577
22.769774,100,8.491581
2.613744,51,8.592467
3.310732,93,8.795903
10.036683,100,9.042428
-32.937434,79,9.276725
1.80496,68,9.460623
-61.227422,87,9.682769
-13.436129,66,9.843535
-25.052026,86,10.051895
3.324214,63,10.176733
-16.266401,50,10.285895
4.782456,87,10.477832
-2.51252,95,10.687456
-0.540571,41,10.78557
7.612069,50,10.909355
-40.669989,100,11.143089
10.320992,40,11.225304
-40.816463,88,11.443008
15.208662,60,11.589886
13.35295,52,11.690979
9.013204,51,13.509226
43.468643,39,13.601854
2.316856,100,13.942523
-10.1754,80,14.117781
17.962218,55,14.27439
9.880955,40,14.351091
34.757182,64,14.491205
2.384832,37,14.567709
35.432281,100,14.776307
15.830273,47,14.869518
23.106954,54,14.976732
39.761714,100,15.193175
22.554568,40,15.258972
19.82136,100,15.468369
5.856577,39,16.705091
54.163843,100,16.890953
53.76053,64,17.007734
-6.162882,88,17.201347
-6.059883,100,17.373103
38.685358,100,17.567093
18.940099,100,17.751323
43.559058,92,17.924083
29.780444,100,18.11773
12.396148,100,18.300432
6.616452,100,18.625496
16.306609,34,18.708424
20.745143,39,18.817653
0.200457,100,19.530557
35.20907,86,22.217078
53.832618,100,22.433566
-4.322041,100,22.633511
22.002774,100,22.822063
45.414322,100,23.008128
28.596244,79,23.140927
25.205127,100,23.341292
25.660426,44,23.434823
25.689232,100,23.624083
41.189727,100,23.816672
6.669195,36,23.871952
46.549191,100,24.05784
18.063675,62,24.157925
42.37145,88,24.349701
23.869008,61,24.483147
31.691388,50,24.584824
34.464163,49,24.656107
24.26182,89,24.824357
19.93142,41,24.903994
38.859334,59,25.005015
16.910989,91,25.175025
29.475751,60,25.266979
16.358555,27,25.307172
39.06086,59,25.415652
45.912745,84,25.555996
22.988951,100,25.732942
17.566158,32,25.78823
35.690347,100,27.800639
26.909047,94,27.973187
71.906376,100,28.165777
10.915528,75,28.298799
26.395603,55,28.423071
78.389247,97,28.639692
52.490232,100,28.941678
39.35277,100,29.148559
60.371971,76,29.283776
27.770163,61,29.384143
52.50798,100,29.571867
41.968106,47,29.672921
57.356248,100,29.873363
59.070026,100,30.037426
53.254402,100,30.239439
10.244686,39,30.332175
81.427501,100,30.533336
57.119757,100,30.737269
61.128181,81,30.90653
45.906185,100,31.145145
34.392634,52,31.25661
90.68983,100,32.833757
26.934151,91,33.005533
39.165209,100,33.198179
69.538109,100,35.105373
69.101516,100,35.31971
68.217492,100,35.673896
90.486207,100,35.888932
60.927209,100,36.088699
81.933067,100,36.282559
69.512938,100,36.486148
60.698507,100,36.696836
76.530008,100,36.880196
87.046589,100,37.065451
72.725592,100,37.253739
48.489222,60,37.363373
39.494224,60,37.463487
58.970512,100,37.648913
71.090611,100,37.881979
61.156305,100,38.115402
92.970365,100,38.365335
64.478458,100,38.604863
66.609953,100,38.847101
34.473613,49,38.963778
94.485282,100,39.19641
49.559021,100,39.413692
22.911908,44,41.268684
75.487179,72,41.546494
96.917854,100,41.752872
57.442327,86,41.931148
65.323983,58,42.054575
79.355092,100,42.279765
63.947979,100,42.504311
88.228803,100,42.714645
87.4514,100,42.869364
104.852882,100,43.070963
89.517473,100,43.255288
67.030338,75,43.395951
99.197738,100,43.61426
89.112774,100,43.778823
46.553877,68,43.886847
78.989564,100,44.087361
83.680818,100,44.253501
75.640284,100,44.437094
85.373573,100,44.674626
86.134649,100,44.863979
61.86365,62,45.003656
48.727301,59,45.097418
32.648878,98,45.310972
72.674746,100,47.280079
101.144964,100,47.618398
75.339974,90,47.803328
103.494408,100,48.011895
56.246902,70,48.16126
95.821354,100,48.361853
101.819712,100,48.586307
85.234659,87,50.486204
103.376186,100,50.70124
84.328505,100,50.968998
60.165595,71,51.129488
93.338119,100,51.360711
54.402501,57,51.502125
85.352279,97,51.773224
63.861786,85,51.96894
25.64905,43,52.127681
102.346018,100,52.39471
51.768589,62,52.527826
81.163374,77,52.693126
109.299671,100,53.039471
93.840728,100,53.244336
95.841155,100,53.460978
41.186363,61,53.585586
61.823328,73,53.727375
100.277276,100,55.550305
103.194148,100,55.759968
84.995163,100,55.960433
86.127783,100,56.167986
115.399809,100,56.412
72.17704,89,56.559791
79.006658,70,56.676414
66.944984,62,56.785016
82.072315,100,56.977228
105.124192,100,57.150011
93.332388,100,57.334644
92.090157,100,57.650622
107.936076,100,57.866481
104.743342,100,58.128027
84.643846,100,58.334107
72.714527,70,58.509931
106.294663,100,58.875902
98.775378,100,59.077838
72.809499,91,59.267416
72.379523,75,59.426597
94.792075,100,59.610927
67.169231,78,59.750864
82.00915,95,61.533669
112.659752,100,61.708788
107.267051,100,61.894009
64.415146,58,62.000242
103.453324,100,62.175393
99.622414,100,62.360759
112.127833,100,62.533306
95.381167,100,62.726997
93.632515,86,62.967229
94.197381,100,63.292959
91.686224,87,63.466436
109.6121,100,63.810631
107.17681,100,64.010203
92.208526,100,64.215352
66.281774,65,64.377006
103.493621,100,64.576736
117.057093,100,64.780797
116.646571,100,66.510724
104.203763,100,66.698151
123.043294,100,66.915816
96.83611,100,67.116392
112.598023,100,69.07473
111.638287,100,69.832899
98.225981,100,70.030846
96.092864,100,70.249115
101.640119,100,70.457102
83.483005,100,70.880769
107.478085,100,71.149371
103.851861,100,71.407574
111.454819,100,71.641237
99.702372,100,71.825727
108.280623,100,72.013864
105.98576,100,72.198694
104.248271,100,72.379316
113.747214,100,72.633864
104.26687,100,72.823694
103.327266,100,73.015261
106.851607,100,73.20856
109.291765,100,73.396907
105.109733,100,73.59054
109.739312,100,73.746873
112.854068,100,73.940324
106.435462,100,75.962021
114.332231,100,76.298016
109.983101,100,76.506533
101.757616,100,76.707817
114.687783,100,76.95517
101.002775,100,77.174423
108.302433,100,77.423266
91.059615,76,77.608402
101.501358,100,77.85609
100.288253,100,78.098041
80.462207,76,78.2805
79.220585,76,78.455557
109.965622,100,78.697636
100.903577,87,78.89728
109.108252,100,79.062624
102.788538,100,79.317961
58.797916,58,79.427058
111.722623,100,79.605324
116.464778,100,79.805939
113.176401,100,79.9946
119.946568,100,80.213239
102.679005,100,80.43009
107.723223,100,82.438987
117.227311,100,82.763425
102.13716,96,82.955947
70.71588,62,83.096785
119.665634,100,84.739887
88.348848,100,84.945815
99.97354,100,85.179113
109.496944,100,85.380354
104.076046,100,85.571039
103.199124,100,85.738261
115.16419,100,85.971507
108.035515,100,86.188841
107.006845,90,86.345442
88.246602,99,86.554829
100.178265,100,86.739504
112.046585,100,86.927641
116.794743,100,87.212445
98.343839,100,87.470505
99.871411,100,87.678905
113.884079,100,87.902583
119.139964,100,88.094091
108.830162,100,90.108309
112.565324,100,90.287634
112.076337,100,90.478548
99.283637,86,90.696196
119.495073,100,90.893602
117.659744,100,91.094559
93.579014,100,91.287829
124.618609,100,91.480173
96.741143,96,91.661247
103.434433,81,91.793512
118.140674,100,92.003076
97.264342,80,92.142297
113.734246,100,92.32837
116.876663,100,92.52241
107.866446,100,92.871353
109.302174,100,93.103468
72.291662,52,93.219985
117.863352,100,93.544761
107.663887,100,93.744629
99.957557,100,93.953085
107.948262,100,94.154716
114.548653,100,95.942594
115.314719,100,96.136228
122.025995,100,96.308146
108.255197,100,96.502289
110.398096,100,96.686262
