#{"t_start": 1764259779.8935719, "env_id": "None"}
r,l,t
-23.112719,82,0.215498
-37.488855,98,0.434262
4.523742,45,0.525607
-34.571082,68,0.674532
-21.051242,57,0.798205
-28.737362,33,0.865318
-12.893644,63,0.990682
-13.807936,73,1.115458
-36.492354,50,1.240351
-36.801618,73,1.481943
11.163646,41,1.590571
-9.203314,46,1.689942
-18.281359,59,1.814588
-15.910425,47,1.91521
-41.261361,68,2.175163
-35.00131,100,2.391775
-5.152549,51,2.49765
-36.494495,56,2.642545
-36.422151,75,2.806881
-3.491741,53,2.914474
-44.461166,100,3.115038
-23.990513,100,3.324609
-28.360242,39,3.387877
-42.529646,100,3.580914
-0.034912,25,3.641869
-17.582974,49,3.713264
-2.433374,55,3.814253
-12.189433,27,3.874918
-27.597751,100,4.047548
9.327266,45,4.123383
-8.9524,46,4.179792
-8.307507,36,4.256897
34.545158,43,4.330266
-32.544251,68,5.447254
-12.29971,72,5.579589
-7.278461,83,5.756542
13.847885,68,5.897181
29.43091,73,6.054278
-12.030391,100,6.230475
5.884491,42,6.323226
5.719664,22,6.347303
-39.809728,99,6.52427
-2.013681,43,6.596151
-11.893746,51,6.789606
-15.071666,100,7.039318
-40.43401,100,7.255514
-40.807687,100,7.63243
11.437832,45,7.744182
15.241344,42,7.828357
15.248818,100,8.014053
0.429867,47,8.113955
-26.010775,98,8.313902
-0.421437,45,8.407329
-22.228405,100,8.612194
-22.124425,100,8.805861
-8.880458,36,8.873948
20.998244,48,8.961169
23.211589,64,9.096177
-24.572767,75,9.224091
-3.639835,56,9.314114
20.233852,67,9.440516
16.832023,57,9.557035
9.02314,57,9.673797
14.365778,40,10.706909
23.926418,68,10.855583
23.202442,100,11.080244
-2.51053,76,11.212879
-23.580105,100,11.405143
-9.904197,100,11.578397
0.823017,34,11.64662
30.281291,49,11.74034
18.854676,80,11.913485
21.389341,61,12.0283
-10.049554,26,12.189016
7.01481,49,12.372923
19.437451,100,12.588514
8.652984,100,14.012861
-5.564789,55,14.13176
35.733181,50,14.223318
-5.010025,81,14.37786
7.834008,92,14.538386
31.668127,100,14.726761
8.291301,42,14.812147
23.560444,90,15.029264
21.42551,56,15.146048
-10.995196,84,15.320082
-6.495198,100,15.529088
-10.498192,57,15.644275
9.570895,61,15.744234
-13.91131,100,15.961932
38.738887,100,16.178578
-0.562675,100,17.287512
-5.198043,57,17.404258
19.197764,26,17.444988
58.047597,100,17.770157
10.418232,70,17.929288
13.165708,42,18.010476
26.354868,77,18.188817
16.619535,97,18.511839
9.260151,77,18.671988
65.006517,100,18.887017
52.146296,100,19.076932
15.964831,46,19.177943
41.506195,68,19.31122
25.688562,58,19.451425
10.190026,65,19.621664
14.745849,58,19.745134
6.949626,100,19.937043
49.313416,100,20.125768
8.654311,100,20.320074
49.749267,100,20.536341
8.202856,51,20.645015
-23.923871,100,20.84509
-2.877335,68,20.986957
6.966699,99,21.211552
18.39046,100,21.404924
-1.691754,100,21.592123
55.357798,100,22.669613
32.847282,100,22.84396
34.887427,62,23.061193
42.075464,70,23.269847
26.453182,100,23.487756
34.750448,100,23.710792
3.308587,100,24.059971
13.905146,48,24.152594
95.420563,100,24.377044
18.850604,100,24.569996
43.666926,100,24.786131
36.579064,65,24.910738
46.013367,66,25.053207
10.6994,94,25.220874
54.21928,100,25.393454
34.754671,38,25.477315
56.281125,64,25.610636
51.636293,79,25.758012
56.761311,100,25.951969
71.270909,100,26.170576
71.463946,100,26.410053
23.005536,82,27.885563
45.7066,78,28.025266
68.611707,100,28.218978
71.285539,84,29.360057
36.384345,45,29.47666
55.796542,62,29.725964
60.64328,100,30.003307
44.23609,100,30.236439
19.723366,42,30.323766
74.147822,91,30.634855
48.663196,69,30.804512
63.852986,69,30.961432
52.952502,100,31.156887
71.110486,100,31.358957
45.820305,99,31.551328
49.091378,100,31.760021
44.709355,57,31.88624
50.120811,71,32.03483
52.782079,91,32.19023
64.380275,100,32.384091
62.507949,100,32.568369
51.725162,69,32.709316
61.475373,87,32.892198
58.250161,100,33.124452
85.458131,100,33.284575
31.001736,73,33.425276
