#{"t_start": 1764259021.7784011, "env_id": "None"}
r,l,t
-3.819443,46,0.141221
-38.113724,91,0.323853
-25.04621,50,0.424601
-32.785844,72,0.557293
-15.010935,51,0.673896
-32.334078,63,0.789524
-9.885572,40,0.866456
-18.178337,24,0.907572
-10.674278,56,0.999443
-19.838764,85,1.132426
13.948135,55,1.24907
-12.361043,40,1.332922
-28.867591,51,1.389307
-14.45579,61,1.507058
-35.149964,93,1.699633
-56.030112,100,1.940621
-48.708696,84,2.08935
-26.389647,48,2.189274
-43.099987,75,2.342119
-63.23655,100,2.515826
3.350153,39,2.599394
-12.549823,45,2.672532
-20.227551,69,2.790532
12.080679,29,2.840838
-22.425292,43,2.917528
-22.443125,100,3.105829
-44.666523,94,3.267519
-28.02343,38,3.323337
-13.903879,57,3.431952
-57.352679,68,3.557092
-51.302449,100,3.765218
-6.068286,48,3.86583
8.408952,54,3.994624
-1.36584,59,4.130427
-60.731369,92,4.316374
-47.33557,85,4.504405
-0.422335,29,4.565958
-18.011789,57,4.667216
-21.536385,81,4.799028
-26.118511,68,4.915627
-29.016543,70,5.040366
-34.475157,60,5.165407
-37.075814,100,5.333551
-13.282189,37,5.405251
-19.440323,39,5.490276
3.461777,50,5.582098
-13.31694,66,5.683472
-1.945731,49,5.789642
-28.092654,69,5.916868
-21.035368,67,6.057628
-6.550214,49,6.150006
-14.1779,33,6.237523
24.226705,48,6.355514
-2.001001,74,6.507518
-12.03728,51,6.599995
-31.788035,70,6.731865
-20.072135,53,6.849391
-39.439901,67,6.972986
-48.377405,100,7.138329
1.689913,42,7.223379
-10.02009,53,7.316596
-14.031566,55,7.416589
-33.324586,74,7.557246
0.595081,78,7.68179
-43.860456,100,7.86722
-17.981726,100,13.079803
-5.260163,56,13.197141
0.995536,100,13.413952
-0.239949,43,13.50425
-15.999541,100,13.688211
-0.963323,47,13.780667
-25.840919,56,13.88055
-5.422356,50,13.979426
-11.573396,58,14.053596
-25.974247,75,14.179277
15.09096,100,14.35523
-4.993677,59,14.463862
-8.067446,43,14.548692
-50.988457,100,16.063272
6.437259,55,16.1355
7.072424,36,16.213014
-10.731658,70,16.346816
38.044304,100,16.554234
-17.475839,86,16.720989
-18.987153,89,16.896095
-41.273935,79,17.064705
-3.84707,100,17.379869
8.237206,76,17.54654
5.180689,53,17.648127
20.774951,51,17.764523
-3.852672,51,18.02664
-24.772014,100,18.246383
-48.079473,100,18.447409
9.134055,62,18.587687
-24.559834,58,18.704644
14.790695,32,18.768499
-13.714444,82,18.931306
-41.134875,100,19.147072
-9.463969,100,19.354137
-17.613566,60,19.470974
-35.591981,51,19.553614
-57.837825,100,19.770295
-5.743147,77,19.90253
22.3814,63,20.027082
-2.716496,97,20.220113
0.082173,51,20.356772
-11.490775,99,20.561363
-1.451181,44,20.637354
-6.006918,83,20.785664
-6.987339,59,20.918062
-0.078977,65,21.019818
-7.066782,93,21.180666
-43.1321,100,21.353219
-36.463095,90,21.530799
1.225442,57,21.631279
-20.232328,71,21.747112
-11.816415,72,21.88789
-11.718641,94,22.067669
-10.25019,66,22.21387
-13.373597,48,22.301021
-33.922614,76,22.446991
-32.834766,100,27.602089
1.299199,66,27.734389
18.281613,55,27.851006
-9.713104,96,28.052005
-0.950738,80,28.184269
11.187627,77,28.361282
4.547276,64,28.461918
-9.895123,65,28.579377
-3.195536,54,28.685272
22.653809,80,28.835775
10.688128,73,28.961236
22.991123,64,29.077709
18.963744,73,29.201773
55.122878,79,29.394581
-15.479709,100,29.575265
-6.033754,63,29.712363
-15.146349,100,29.885097
21.369547,70,30.017372
20.965913,77,30.176412
4.563374,65,30.266119
17.874522,57,30.367157
-8.574425,41,30.44416
26.079037,100,30.629699
11.54108,57,30.717067
-3.942558,60,30.817082
0.735109,60,31.301385
2.083509,70,31.451465
-0.922406,46,31.573757
16.958587,64,31.710496
-24.73728,59,31.835223
36.859116,100,32.028457
18.776671,100,32.254017
26.051574,33,32.31683
15.656472,100,32.618128
7.617546,43,32.722647
9.705792,100,32.94353
26.499578,100,33.148931
44.849698,98,33.468519
0.729462,55,33.565512
-6.712133,100,33.824591
11.086181,57,33.960661
20.43059,64,34.093421
6.831696,28,34.133092
39.59884,81,34.294169
5.719619,83,34.468634
25.595287,100,34.660075
32.502501,100,34.817283
29.705834,51,34.909957
14.966779,68,35.034049
17.277181,65,35.134564
21.072387,100,35.282895
14.917452,39,35.359874
19.441525,47,35.451816
5.135219,55,35.567894
1.542599,100,35.740754
-29.393935,98,35.942441
28.686936,71,41.116777
20.143854,68,41.265095
23.179905,50,41.366096
43.398,81,41.543354
5.264371,82,41.716538
9.055392,69,41.865057
9.816956,56,41.964966
14.126439,55,42.081626
-15.421465,100,42.27514
41.881066,100,42.431583
57.117134,76,42.593356
18.734688,60,42.680464
27.080084,51,42.774922
36.832819,47,42.858449
12.585926,56,42.958436
44.081445,83,43.099186
0.630025,40,43.174994
16.965916,100,43.40837
1.376427,48,43.501901
22.46031,61,43.609881
-11.817854,66,43.74233
5.138846,36,43.782367
42.409846,61,43.899044
7.040927,53,43.982826
16.98931,48,44.076175
37.841549,88,44.240908
33.01917,100,44.425043
16.276048,100,44.59787
35.285092,100,44.799438
28.856918,76,44.92406
20.452409,100,45.10933
14.609648,65,45.226191
20.602285,49,45.332054
21.447438,100,45.575198
20.270083,55,45.691216
51.207736,59,45.815718
-7.627502,49,45.909155
22.292173,100,46.126003
13.59669,100,46.85982
9.915628,78,47.042216
6.894353,100,47.206959
-17.974848,100,47.362924
10.395757,58,47.463905
31.143599,100,47.66496
12.642773,72,47.845497
25.483622,100,48.10898
30.979711,100,48.382042
-16.791577,51,48.490051
9.938095,97,48.707305
44.528304,50,48.908706
11.735105,58,49.465181
-1.150013,100,49.673772
63.321145,100,49.875023
40.255277,100,50.127366
13.615112,100,50.313408
-28.42552,100,55.489122
39.993972,100,55.71345
20.515999,35,55.789924
18.852351,86,55.962365
-3.998029,62,56.094586
7.085564,30,56.163997
54.511856,100,56.37313
23.194168,55,56.473967
45.458232,76,56.630556
40.697171,52,56.746109
31.278104,100,56.96382
52.627219,100,57.155452
25.42254,100,57.312033
45.064231,100,57.488919
29.068769,35,57.529696
31.074971,62,57.646403
66.886349,100,57.823805
