#{"t_start": 1764260077.200461, "env_id": "None"}
r,l,t
-27.413285,100,0.244212
-9.616835,31,0.302208
-28.842082,48,0.395579
-3.434793,30,0.443463
10.5561,60,0.552154
-66.836636,100,0.736181
2.536672,39,0.802135
-70.523167,91,1.064955
1.288604,47,1.204032
-72.946956,100,1.427046
-24.488325,72,1.576605
-44.638552,99,1.944641
-21.750476,65,2.085292
-17.573944,61,2.227437
-49.539959,99,2.416798
-55.544436,100,2.617906
-26.596673,42,2.710384
-57.782441,70,2.843429
3.456444,49,2.943089
-11.989397,45,3.043403
-28.229402,52,3.152401
-14.769183,64,3.268285
1.852995,38,3.332295
-17.632606,41,3.410299
-50.148577,100,3.592499
-21.732608,78,3.743594
-60.341057,94,3.909882
-0.62455,35,3.992835
-29.278077,72,4.151021
-11.567726,90,4.353383
5.626415,70,10.275383
19.361764,58,10.381978
-3.17625,100,10.550189
-22.683223,55,10.658925
-7.780187,39,10.715214
-1.358317,71,10.831963
9.671798,39,10.916816
-20.945969,81,11.049526
11.136757,56,11.158172
14.187699,55,11.258834
-28.980114,100,11.49233
-4.908249,69,11.646863
-24.874908,79,11.825398
52.161153,100,12.000471
-8.626377,100,12.166606
-26.787716,48,12.258507
-28.839648,71,12.377023
-3.086898,75,12.524715
-12.888471,71,12.664825
-26.262958,81,12.815903
-8.633399,77,12.975139
-41.690907,85,13.159896
2.48796,30,13.215847
3.816274,64,13.332499
11.194873,49,13.433312
10.863259,27,13.499484
7.001154,51,13.581351
-9.823761,67,13.747548
-4.474409,100,13.957207
10.366969,42,14.03234
-17.991399,79,19.979079
-0.926326,62,20.095834
55.271876,94,20.281708
17.411769,83,20.4457
18.63792,56,20.530043
4.741141,58,20.646775
-8.376145,84,20.850223
23.94381,52,20.956871
-24.9773,89,21.097626
-11.541179,100,21.30689
16.442108,100,21.497534
11.527088,100,21.696504
20.290976,70,22.970178
-1.340001,56,23.111063
57.755689,100,23.311793
24.044749,100,23.497824
40.628698,82,23.630502
-1.158176,100,23.839272
23.519059,63,23.979434
9.490485,100,24.306194
20.922511,47,24.422024
17.204364,51,24.530952
21.713521,97,24.747572
39.518498,63,24.889547
32.676427,31,24.940928
-3.890247,42,25.162549
16.496693,49,25.287607
10.684181,76,25.457307
11.361484,44,31.47132
29.327719,85,31.6399
32.031804,40,31.711286
52.241226,100,31.913058
63.741673,100,32.095705
23.727266,55,32.193441
58.788772,100,32.426287
38.766473,100,32.628797
36.275323,42,32.712714
47.710762,95,32.905953
85.416921,100,33.094355
22.111964,100,33.271219
18.7042,100,33.428684
-24.471322,72,33.545306
16.96948,100,33.754565
65.270222,73,33.887168
89.456138,100,34.096637
3.416607,44,34.181421
33.707722,100,34.360771
47.02892,100,34.588119
45.273797,100,34.803666
37.330082,100,35.004243
23.005254,76,35.170671
15.338666,100,35.362214
74.362169,100,41.427237
49.816534,76,41.567346
86.258916,100,41.794329
71.376027,100,41.985609
61.675166,100,42.159207
72.294871,71,42.287773
15.989944,48,42.359209
74.09256,100,42.552958
84.271152,100,42.737563
80.683693,100,42.925792
64.993239,100,43.119402
68.951537,100,43.320703
63.347905,100,43.524704
84.365063,100,43.743356
61.928185,100,43.927032
83.330265,100,44.162326
49.675619,60,44.285208
42.173833,100,44.470484
25.515504,100,44.643255
78.695807,75,44.775466
63.152277,100,46.37363
55.759924,100,46.57006
30.109196,36,46.641876
