#{"t_start": 1764261054.9745224, "env_id": "None"}
r,l,t
-58.89678,80,0.214317
-19.798335,51,0.490674
-37.950094,66,0.652495
-14.883338,59,0.784869
7.69164,34,0.873833
-32.773021,88,1.056105
-25.947794,70,1.202478
9.015042,46,1.434625
-2.787091,49,1.539346
-46.189086,53,1.648299
-33.078449,56,1.760702
2.883732,34,1.835661
27.058445,54,1.949647
-28.138609,86,2.114896
-38.608115,100,2.302147
-71.221882,100,2.524052
-23.029693,63,2.647444
-26.348527,100,2.818841
-61.425644,73,2.967729
1.359727,40,3.052062
-46.424005,76,3.238754
-36.080025,71,3.401026
-23.239338,70,3.53231
16.676762,34,3.604576
13.077643,46,3.69353
-43.432041,97,3.884265
-43.352056,85,4.067657
-8.377164,37,4.133158
-4.541188,50,4.235178
1.698706,39,4.321171
-7.076007,51,4.417659
-31.424844,61,4.518596
-12.535025,52,7.837107
-54.857983,89,8.01714
-29.271132,100,8.21612
-25.399583,44,8.311666
-10.280264,50,8.412726
5.723766,43,8.500257
1.740778,60,8.619106
-36.17785,75,8.782295
9.65532,46,8.8773
-52.447351,100,9.056009
16.055132,23,9.102578
-19.870225,83,9.250064
31.308814,100,9.433129
2.669358,38,9.484206
-10.879754,29,9.558485
1.065943,100,9.716439
-47.87267,71,9.879699
-18.729206,60,10.02563
-32.905529,100,10.1821
-16.252542,100,10.389398
-26.738151,71,10.517318
-5.737851,41,10.583558
-13.564663,47,10.666264
-26.966135,85,10.809767
-2.001763,41,10.873007
28.403366,63,10.999528
11.641461,45,11.091543
2.898974,63,11.219857
1.440217,100,11.416392
-0.649024,38,11.506262
-6.77113,76,11.633058
-15.511447,60,14.949234
-20.659908,75,15.110153
-8.892897,61,15.216601
8.351952,41,15.298742
6.035398,50,15.38101
11.019117,49,15.471036
8.307455,82,15.598642
11.255669,100,15.808297
23.550853,61,15.931644
-2.438466,32,15.997995
18.522263,64,16.114778
-38.221879,81,16.271982
4.840819,41,16.348872
-8.598213,42,16.431823
0.271298,52,16.547439
-2.523582,58,17.887106
-4.262789,35,17.956882
12.581066,36,18.032614
5.842368,45,18.115078
4.629895,61,18.24222
11.303935,72,18.382526
-32.859805,100,18.58291
8.008986,51,18.674895
-1.716333,75,18.842416
-11.61217,84,19.042271
-2.993919,65,19.281714
-35.92154,87,19.482249
2.414195,63,19.615001
-2.298988,100,19.838248
-16.697777,73,19.986596
-21.183676,100,20.315416
-18.937247,100,23.416874
19.671566,100,23.596552
14.142381,100,23.78787
16.097904,100,23.973924
14.308597,62,24.09822
33.869526,63,24.214207
22.109029,57,24.330753
20.107662,44,24.412587
0.661725,68,24.613837
-0.753093,89,24.847907
6.738153,69,24.995854
16.589459,96,25.211876
45.032691,100,25.437799
-25.343811,100,25.829395
-1.117284,100,26.04347
-1.971878,90,26.214154
24.642226,40,26.297638
3.59095,60,26.417961
13.94194,55,26.535146
26.539126,35,26.597119
6.619793,53,26.702754
-45.154911,100,26.896515
42.577641,100,27.101173
-7.058325,79,27.247496
4.239676,53,27.3631
33.859115,100,27.570826
22.791391,63,27.706036
-3.391055,43,27.7981
-9.649869,40,31.046699
12.861659,41,31.128993
-17.838789,100,31.361279
17.523985,76,31.512367
10.524396,43,31.599223
21.342095,42,31.6882
33.992794,74,31.835612
43.772222,70,31.973449
28.639115,100,32.15463
15.741316,50,32.229863
-2.112256,40,32.312853
30.599602,70,32.412197
-0.041688,52,32.530418
40.229049,66,32.648062
6.415713,100,32.878423
12.990955,65,33.013048
37.291605,51,33.139276
