#{"t_start": 1764260603.5084667, "env_id": "None"}
r,l,t
-62.3467,100,0.268535
-22.416143,100,0.504715
-33.248603,66,0.637876
-20.546418,77,0.769437
-34.108125,100,0.925895
-34.765077,67,1.042516
-64.823681,100,1.227404
-88.508998,98,1.392437
-13.864702,62,1.524724
-11.124801,67,1.660165
-6.235561,80,1.835411
-13.512668,56,1.943474
-14.676196,47,2.052015
5.628066,51,2.176738
-20.48521,39,2.261161
-12.790833,42,2.345919
-67.242875,95,2.571822
-30.517397,100,2.803261
-1.577644,37,2.852502
-34.516985,44,2.935726
-15.67462,46,3.007784
-70.179883,100,3.201867
-75.618231,100,3.402357
4.62825,38,3.487234
-42.412943,38,3.543093
9.138632,47,3.635664
-20.745973,31,3.675329
-20.781704,44,3.760351
0.339101,37,3.837493
-8.334161,83,3.985043
-7.49604,55,4.085609
2.532068,33,8.185088
-21.194106,100,8.357778
-8.578053,29,8.417841
-8.805288,74,8.567475
3.918018,32,8.635561
1.115241,50,8.708829
1.807217,58,8.824436
6.979617,56,8.941015
-17.597663,100,9.142662
19.214387,100,9.379119
2.908031,33,9.452602
-2.668713,56,9.552621
-14.440519,88,9.717585
-7.104477,26,9.784242
-0.517922,37,9.840946
-4.223701,100,10.034501
14.662678,42,10.117472
11.990684,47,10.206422
0.356275,38,10.27632
-10.150905,22,10.308501
-40.979376,78,10.458468
-10.36827,32,10.525156
-4.920555,95,10.718212
10.814639,93,10.908022
-32.112239,100,11.10738
-1.706044,100,11.316955
8.411063,73,11.457242
-24.030968,53,11.602069
-15.33837,100,11.817274
-1.209296,91,11.984195
-24.611585,72,12.108087
4.643061,27,12.139336
21.4191,53,16.255305
24.326796,98,16.457303
-1.655311,89,16.667278
32.803059,52,16.782711
-0.872071,45,16.883219
41.779017,78,17.015851
28.944485,50,17.099711
52.921047,54,17.200399
30.83352,49,17.290655
28.334514,100,17.473799
38.874092,100,17.667741
9.362897,95,17.854967
22.457928,61,19.268315
31.530666,71,19.399314
23.737822,100,19.616009
5.558379,43,19.700801
31.571429,62,19.841228
35.726274,100,20.066026
2.931706,62,20.174433
22.234921,100,20.367926
21.421288,48,20.515823
28.761714,46,20.672136
4.380345,100,20.922082
8.714656,100,21.138695
19.039666,100,21.550073
14.844806,100,21.768425
-10.815046,46,21.872288
31.184617,49,21.956222
17.506063,34,25.614573
59.082014,82,25.797489
40.528705,53,26.017889
8.04347,71,26.256016
58.738782,100,26.481355
44.493348,59,26.614011
63.456446,98,26.939207
48.947311,97,27.137552
16.909734,100,27.355215
35.769848,100,27.563766
45.007114,68,27.70497
27.965298,78,27.872344
17.740816,100,28.080914
27.040451,67,28.21438
29.714748,86,28.355051
94.739121,100,28.555665
36.242043,66,28.672285
63.694928,65,28.788838
67.163608,100,29.030221
53.699867,78,29.188264
31.669942,91,29.371578
31.813836,100,29.588818
26.372119,37,29.654924
43.408246,100,29.831121
18.316316,86,30.013983
39.415554,59,34.512916
56.468193,100,34.731121
28.071365,75,34.87976
58.199992,100,35.08103
72.702446,100,35.25379
73.890705,100,35.446376
52.721158,100,35.666246
50.619504,100,35.879306
68.874797,100,36.068353
32.283697,77,36.246186
68.66554,100,36.418173
31.328649,78,36.579166
60.163239,100,36.745883
52.172691,65,36.853435
43.399186,44,36.945371
46.881058,100,37.145934
85.720208,96,37.303308
58.113853,100,37.503853
61.248464,100,37.753888
48.206471,74,38.586613
25.646467,70,38.899987
49.290633,100,41.529106
43.144296,100,41.755015
71.915555,100,47.110845
28.864398,56,47.236627
64.318294,100,47.432525
65.644096,78,47.604872
54.437178,100,47.898753
69.61056,100,48.12478
32.992294,33,48.202959
73.083292,100,48.435039
51.167487,93,48.635603
74.536011,100,48.865653
66.656,65,48.997284
44.273233,76,49.163578
50.933488,88,49.336358
74.746573,69,49.484838
55.878038,86,49.669363
74.179988,100,49.880623
56.430605,100,50.154689
95.925899,100,50.38001
68.596061,100,50.612492
41.083849,43,50.727458
77.446149,100,50.948129
84.815223,100,51.227288
61.30681,100,51.463713
80.664851,100,51.725648
88.723505,100,56.327946
58.431672,100,56.610445
80.889875,100,56.873063
88.581614,98,57.143352
106.377591,100,57.382845
58.255947,73,57.526947
61.419495,70,57.661358
69.247514,100,57.890015
67.563504,94,58.088131
63.207871,100,58.310863
62.302063,65,58.448557
70.874201,100,58.68351
77.991686,100,58.900321
83.079327,100,59.14841
35.023898,70,59.351824
73.051018,100,59.563333
84.641685,100,59.793554
90.950778,100,60.018162
87.011349,100,60.241708
92.007695,100,60.452321
42.700379,75,60.609674
39.610161,64,60.755936
101.094264,100,65.634214
92.68105,100,65.879194
89.733852,100,66.159935
84.584579,100,66.386641
72.36219,100,66.62788
74.936953,100,66.90836
100.216298,100,67.127186
103.348318,100,69.082385
108.264866,100,69.307367
52.627076,49,69.40756
80.012676,100,69.632204
96.0638,100,69.842605
69.250221,98,70.100443
58.183952,59,70.359382
73.531896,100,70.63116
89.720689,100,70.885784
87.794946,100,71.330431
70.249406,100,71.575893
81.720615,100,71.807114
52.513646,46,71.908703
91.092168,93,72.131105
84.972402,100,72.376759
70.596954,100,77.205156
100.867816,100,77.43087
91.936291,100,77.662991
107.449463,100,77.905565
82.522014,100,78.149748
86.673517,78,78.432684
91.108828,100,78.72338
97.108846,100,79.047671
94.441508,100,79.289586
64.682994,100,79.572007
67.100321,100,79.780533
39.159299,95,79.972745
99.971114,100,80.215631
79.04854,99,80.405987
53.081854,77,80.558199
69.529336,100,80.713517
49.447631,54,80.813941
92.268179,100,81.072484
101.208983,100,81.271978
72.923614,87,81.406726
71.650699,100,81.57175
48.705347,64,81.666219
90.861921,100,85.622485
101.608925,100,85.783435
106.580519,100,86.020006
99.517716,100,86.174998
87.916534,100,86.339165
75.594609,100,86.491718
74.826514,100,86.662398
